Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-09-10 12:05:00,2024-09-10 12:09:00,00:04:00,4.1768,4.1361
2024-09-10 12:11:00,2024-09-10 12:12:00,00:01:00,4.1596,4.169
2024-09-10 12:17:00,2024-09-10 12:31:00,00:14:00,0.3832,0.3866
2024-09-10 12:41:00,2024-09-10 12:41:00,00:00:00,4.3369,4.3369
2024-09-10 12:46:00,2024-09-10 12:46:00,00:00:00,4.3107,4.3107
2024-09-10 12:51:00,2024-09-10 12:51:00,00:00:00,4.2151,4.2151
2024-09-10 12:54:00,2024-09-10 12:56:00,00:02:00,4.2151,4.2465
2024-09-10 13:00:00,2024-09-11 08:07:00,19:07:00,0.0078,0.0097
2024-09-11 08:12:00,2024-09-11 08:16:00,00:04:00,4.0838,4.0798
2024-09-11 08:18:00,2024-09-11 08:34:00,00:16:00,3.9822,3.978
2024-09-11 08:37:00,2024-09-11 09:30:00,00:53:00,3.8763,3.9304
2024-09-11 09:32:00,2024-09-11 09:35:00,00:03:00,3.9617,3.9604
2024-09-11 09:37:00,2024-09-11 09:50:00,00:13:00,3.9768,3.9787
2024-09-11 09:53:00,2024-09-11 10:06:00,00:13:00,0.3852,0.3859
2024-09-11 10:10:00,2024-09-11 10:11:00,00:01:00,4.1001,4.0824
2024-09-11 10:13:00,2024-09-11 10:15:00,00:02:00,4.1128,4.1107
2024-09-11 10:17:00,2024-09-11 10:17:00,00:00:00,4.1069,4.1069
2024-09-11 10:19:00,2024-09-11 10:22:00,00:03:00,4.1192,4.1463
2024-09-11 10:25:00,2024-09-11 10:28:00,00:03:00,4.1254,4.1189
2024-09-11 10:32:00,2024-09-11 10:32:00,00:00:00,4.1039,4.1039
2024-09-11 10:34:00,2024-09-11 10:35:00,00:01:00,4.0806,4.0834
2024-09-11 10:38:00,2024-09-11 10:52:00,00:14:00,0.3821,0.3716
2024-09-11 10:55:00,2024-09-11 10:56:00,00:01:00,4.1016,4.1058
2024-09-11 10:59:00,2024-09-11 11:02:00,00:03:00,4.0856,4.0819
2024-09-11 11:08:00,2024-09-11 11:08:00,00:00:00,4.0671,4.0671
2024-09-11 11:10:00,2024-09-11 11:11:00,00:01:00,4.0279,4.0167
2024-09-11 11:15:00,2024-09-11 11:15:00,00:00:00,4.0662,4.0662
2024-09-11 11:18:00,2024-09-11 11:33:00,00:15:00,0.373,0.3726
2024-09-11 11:36:00,2024-09-11 11:38:00,00:02:00,3.7624,3.7624
2024-09-11 11:40:00,2024-09-11 11:40:00,00:00:00,4.1667,4.1667
2024-09-11 11:43:00,2024-09-11 11:43:00,00:00:00,4.1061,4.1061
2024-09-11 11:45:00,2024-09-11 11:46:00,00:01:00,4.0665,4.0842
2024-09-11 11:51:00,2024-09-11 11:52:00,00:01:00,4.0352,4.0358
2024-09-11 11:57:00,2024-09-11 11:57:00,00:00:00,4.0164,4.0164
2024-09-11 12:02:00,2024-09-11 12:02:00,00:00:00,3.9666,3.9666
2024-09-11 12:05:00,2024-09-11 12:23:00,00:18:00,0.3654,0.373
