Consumo_T,Aula Medios,Cubiculos,Direccion 1,Direccion 2,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2,L3,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred
1.1169,0.0115,0.0,0.0218,0.0256,0.3859,0.1068,0.1654,0.0119,0.118,0.0588,0.2112,0.01148626666666666,0.0,0.022003733333333338,0.02563599999999999,0.37041506666666657,0.10671279999999994,0.07506599999999997,0.011271200000000004
5.5393,0.0124,0.0,0.0194,0.0257,0.3877,0.1056,4.6518,0.0102,0.056,0.0588,0.2117,1.338829,0.0,0.019996,0.0667199999999999,0.3174439999999997,0.10672000000000016,2.718983,0.13916499999999984
2.7472,0.0118,0.0,0.0212,0.0256,0.3844,0.1057,1.7591,0.0112,0.1576,0.0589,0.2117,0.010797000000000003,0.8398879999999993,0.017889,0.2444270000000002,0.22259900000000019,0.08685399999999995,0.003718000000000003,0.07175899999999996
0.9685,0.0119,0.0,0.0217,0.0256,0.3863,0.1064,0.0027,0.0106,0.1334,0.059,0.2109,0.011828000000000016,0.0,0.022072000000000015,0.025808000000000008,0.35389299999999957,0.10683300000000003,0.0025070000000000014,0.010427000000000021
2.1585,0.0115,0.0,0.0215,0.0253,0.3834,0.1066,0.0032,1.2804,0.0561,0.0584,0.2121,0.013996999999999989,0.0,0.02210400000000001,0.38024599999999964,0.3583559999999999,0.10745500000000012,0.006398999999999987,0.009784
3.8737,0.012,0.0,0.0215,0.0249,0.4555,0.1064,0.0031,2.9317,0.0492,0.0579,0.2115,0.01206000000000001,0.046542,0.021604000000000026,0.024937999999999988,0.4517100000000005,0.10638500000000008,0.003213999999999995,2.865322000000001
3.8725,0.0119,0.0,0.0221,0.025,0.4814,0.1065,0.0027,2.9049,0.0486,0.0579,0.2115,0.011994000000000013,0.06951700000000001,0.021784999999999995,0.024924999999999975,0.45010000000000033,0.10642100000000002,0.003092999999999998,2.8197810000000003
3.8883,0.0117,0.0,0.0226,0.025,0.4824,0.1069,0.0029,2.9187,0.0486,0.058,0.2115,0.012307000000000012,0.7908849999999997,0.022496999999999986,0.025363999999999963,0.3715689999999995,0.1062499999999998,0.003703000000000003,1.9301780000000006
3.9057,0.012,0.0,0.0222,0.0248,0.4803,0.107,0.0032,2.9381,0.0486,0.0579,0.2116,0.011821000000000009,0.0,0.022220000000000014,0.02480999999999997,0.4817779999999998,0.10673499999999995,0.0029749999999999998,2.9379949999999986
3.9181,0.0116,0.0,0.0219,0.0247,0.4779,0.1067,0.0036,2.9535,0.0486,0.0579,0.2117,0.012289000000000015,0.49614400000000003,0.022048000000000016,0.024963999999999972,0.4543039999999995,0.105154,0.0037649999999999966,2.300867999999997
4.0806,0.0118,0.0,0.0223,0.0247,0.4861,0.1067,0.0018,2.9395,0.2181,0.0578,0.2118,0.012089000000000011,0.26573099999999994,0.022132999999999993,0.02483800000000001,0.44499800000000034,0.10653499999999999,0.0027179999999999995,2.608326000000003
3.9088,0.0123,0.0,0.0222,0.0249,0.4865,0.107,0.0031,2.935,0.0486,0.0579,0.2113,0.011317,0.0,0.022096,0.024650999999999992,0.4651499999999995,0.10620099999999986,0.0024329999999999972,2.928295999999997
3.8996,0.012,0.0,0.0219,0.0247,0.4768,0.1069,0.0029,2.9366,0.0484,0.0579,0.2115,0.013410999999999998,0.0,0.02166100000000003,0.02492399999999996,0.3743069999999998,0.10648999999999989,0.006422000000000002,2.7839120000000026
3.8604,0.0122,0.0,0.0224,0.0247,0.4756,0.107,0.0022,2.8994,0.0477,0.0577,0.2115,0.013009,0.7332499999999995,0.022354000000000002,0.025226000000000016,0.35949000000000014,0.10708699999999997,0.003879999999999996,1.9463850000000023
3.8785,0.0118,0.0,0.0223,0.0248,0.4811,0.1067,0.0045,2.9102,0.0478,0.0578,0.2115,0.012682000000000006,0.71274,0.022298999999999985,0.025292999999999993,0.380576,0.10610700000000003,0.005649999999999997,2.0292760000000007
3.916,0.0119,0.0,0.0224,0.0248,0.4897,0.1065,0.0043,2.939,0.0479,0.0579,0.2116,0.011961000000000017,0.22551999999999997,0.022287999999999992,0.024867000000000004,0.4753419999999995,0.10560399999999989,0.0033590000000000004,2.6354589999999978
3.9071,0.0114,0.0,0.022,0.0249,0.4922,0.1064,0.0028,2.9305,0.0479,0.0579,0.2111,0.011400999999999996,0.0,0.022134000000000008,0.024837999999999995,0.4895139999999993,0.10632699999999998,0.002607999999999998,2.9334069999999963
3.9194,0.0121,0.0,0.0219,0.025,0.4888,0.1062,0.0033,2.9452,0.048,0.058,0.2109,0.012321999999999994,0.067656,0.021788000000000026,0.024955999999999975,0.456888,0.10617099999999999,0.0038110000000000062,2.846372000000001
3.951,0.0122,0.0,0.0221,0.0248,0.4893,0.1057,0.0029,2.9772,0.0478,0.0577,0.2113,0.012660999999999993,0.5700599999999998,0.022123,0.02520599999999997,0.4243110000000001,0.10629499999999992,0.004349000000000004,2.2510710000000014
3.9076,0.0113,0.0,0.0224,0.0247,0.486,0.1061,0.0021,2.9382,0.0477,0.0577,0.2114,0.011359999999999997,0.0,0.022298000000000012,0.024755999999999997,0.4869719999999994,0.10620399999999985,0.002320999999999997,2.936563999999996
3.9158,0.0117,0.0,0.0223,0.0249,0.4875,0.1063,0.0035,2.9425,0.0478,0.0578,0.2115,0.011961000000000017,0.22551999999999997,0.022287999999999992,0.024867000000000004,0.4753419999999995,0.10560399999999989,0.0033590000000000004,2.6354589999999978
3.906,0.0116,0.0,0.0224,0.0248,0.4791,0.1062,0.0025,2.9425,0.0479,0.0576,0.2114,0.011657000000000015,0.0,0.02230200000000001,0.02480999999999997,0.4812860000000001,0.10640699999999996,0.002688000000000001,2.939798999999997
3.8486,0.0117,0.0,0.022,0.0248,0.4676,0.1061,0.0019,2.8977,0.0477,0.0577,0.2114,0.012369000000000017,0.820838,0.022285000000000003,0.025429999999999987,0.3946880000000002,0.10621699999999992,0.0028870000000000046,1.8875389999999976
3.8555,0.012,0.0,0.0221,0.0247,0.4682,0.1064,0.0032,2.9016,0.0479,0.0577,0.2117,0.013854000000000012,2.296357999999996,0.022041000000000012,0.026274999999999996,0.17844100000000032,0.10512299999999979,0.0077949999999999894,0.08986300000000005
3.8124,0.0117,0.0,0.0219,0.0245,0.4398,0.1064,0.0032,2.8876,0.0478,0.0578,0.2117,0.01226900000000002,0.8121449999999997,0.022132000000000013,0.025185000000000023,0.36639100000000036,0.1049160000000001,0.0040959999999999955,1.8807689999999995
3.7523,0.0113,0.0,0.021,0.0248,0.3793,0.1066,0.0034,2.8889,0.0477,0.0578,0.2115,0.011832000000000004,0.3237619999999999,0.021324999999999986,0.025030999999999977,0.3520440000000003,0.10562800000000008,0.0037230000000000006,2.4839440000000037
3.7268,0.0122,0.0,0.0213,0.0246,0.3781,0.1066,0.0029,2.8637,0.048,0.0579,0.2115,0.012229999999999993,0.05226600000000001,0.021324000000000027,0.02473399999999997,0.3721340000000004,0.10657400000000009,0.0031630000000000043,2.8054569999999974
3.7166,0.0123,0.0,0.0212,0.0248,0.3716,0.1063,0.0036,2.8606,0.0478,0.0576,0.2108,0.012322999999999997,0.8673080000000004,0.02093200000000003,0.02463299999999998,0.2965000000000001,0.103099,0.0042499999999999994,1.7770720000000029
3.7318,0.012,0.0,0.0211,0.0247,0.3713,0.1064,0.003,2.8768,0.0478,0.0579,0.2108,0.012380000000000009,0.7055910000000002,0.021646999999999972,0.025328000000000003,0.3333230000000005,0.1072580000000001,0.003571000000000002,2.101428000000001
3.749,0.0119,0.0,0.0211,0.0243,0.3687,0.1062,0.0022,2.872,0.0478,0.0842,0.2106,0.01181000000000001,0.09417999999999999,0.02121599999999998,0.024550000000000006,0.366023,0.10618299999999997,0.0021990000000000013,2.760511
3.7757,0.0117,0.0,0.0211,0.025,0.3739,0.106,0.0033,2.8947,0.0476,0.0812,0.2112,0.012379999999999993,2.565950000000002,0.022005,0.026391000000000032,0.1745000000000001,0.10392099999999985,0.002737000000000001,0.036142999999999946
3.748,0.0119,0.0,0.0209,0.0248,0.373,0.1061,0.0014,2.8747,0.0479,0.0762,0.2111,0.011828000000000007,0.09417999999999999,0.021081999999999983,0.024829999999999974,0.3686699999999999,0.10612199999999988,0.0016780000000000015,2.7618239999999967
4.1156,0.0119,0.0,0.0208,0.0247,0.374,0.1061,0.0032,2.8679,0.0473,0.0874,0.5723,0.013320000000000014,0.8748839999999999,0.02136999999999998,0.025346000000000014,0.29582999999999954,0.10443399999999987,0.005935999999999996,1.782356000000001
4.2549,0.0125,0.0,0.0211,0.0248,0.3758,0.1059,0.0049,2.8853,0.0473,0.0856,0.6917,0.012971999999999978,0.945188,0.021709999999999972,0.025545999999999968,0.3427770000000004,0.10425300000000005,0.005328000000000006,1.7352949999999998
3.8913,0.012,0.0,0.021,0.0249,0.3775,0.1061,0.003,2.8864,0.0477,0.0794,0.3333,0.012702416666666671,0.4448128333333333,0.02130949999999997,0.025183000000000004,0.33408275000000026,0.1058793333333332,0.00421316666666667,2.3329048333333353
3.7548,0.0116,0.0,0.0213,0.0248,0.3775,0.106,0.0031,2.8747,0.0477,0.0768,0.2113,0.01177500000000002,0.093788,0.021301000000000035,0.02488599999999998,0.3744220000000001,0.10600199999999987,0.002874999999999998,2.7613859999999977
3.7492,0.0119,0.0,0.021,0.0248,0.3719,0.106,0.003,2.8727,0.0477,0.0784,0.2118,0.011906000000000014,0.09417999999999999,0.02109699999999997,0.024744999999999986,0.36813499999999977,0.10604099999999994,0.0027190000000000014,2.7589760000000023
3.7309,0.012,0.0,0.0215,0.0248,0.3679,0.1063,0.0034,2.8587,0.0478,0.077,0.2115,0.012282000000000006,0.5226600000000001,0.021782000000000017,0.02523399999999998,0.3408379999999997,0.10696699999999991,0.0036990000000000005,2.2899139999999996
3.7492,0.0122,0.0,0.0212,0.0247,0.3758,0.1061,0.0028,2.8723,0.0479,0.0745,0.2117,0.011906000000000014,0.09417999999999999,0.02109699999999997,0.024744999999999986,0.36813499999999977,0.10604099999999994,0.0027190000000000014,2.7589760000000023
3.7537,0.0122,0.0,0.0212,0.0249,0.3742,0.1062,0.0018,2.8796,0.0479,0.0738,0.2119,0.012039000000000001,0.023056,0.021246000000000046,0.024881999999999994,0.3731159999999997,0.1060899999999999,0.002274999999999998,2.8497270000000015
3.7406,0.0122,0.0,0.0213,0.0249,0.3753,0.1061,0.0029,2.8595,0.048,0.0785,0.2119,0.012267999999999996,0.3767200000000001,0.021513000000000036,0.025141999999999998,0.33860999999999997,0.10609999999999994,0.0032540000000000034,2.397978999999998
3.7694,0.0117,0.0,0.0212,0.0249,0.3758,0.1063,0.0029,2.8928,0.0479,0.0742,0.2117,0.012162000000000006,0.648984,0.021479000000000036,0.025197999999999984,0.32183900000000015,0.10586499999999996,0.002866000000000004,2.1781400000000004
3.7519,0.0117,0.0,0.0212,0.0249,0.3761,0.1062,0.0031,2.8761,0.0477,0.0734,0.2115,0.012310000000000012,0.8677420000000002,0.021525000000000016,0.025491,0.3406510000000004,0.10534599999999995,0.0037009999999999977,1.81683
3.7249,0.012,0.0,0.0215,0.025,0.3686,0.1064,0.0034,2.857,0.0479,0.0717,0.2114,0.012144000000000002,0.095589,0.02143600000000001,0.024990999999999968,0.36202600000000046,0.10643200000000005,0.003486000000000001,2.7444800000000003
3.7256,0.0124,0.0,0.0211,0.0249,0.3654,0.1062,0.004,2.8596,0.0481,0.0726,0.2113,0.012299999999999995,0.072437,0.02126299999999999,0.024932999999999986,0.3626370000000004,0.10634400000000001,0.0037270000000000024,2.7740519999999997
3.7418,0.0116,0.0,0.0215,0.0248,0.366,0.1064,0.0032,2.8722,0.0478,0.0772,0.2111,0.012148999999999998,0.5886250000000003,0.021686000000000018,0.025292,0.3133330000000004,0.10628500000000007,0.003947999999999998,2.1358690000000005
3.7562,0.0121,0.0,0.0211,0.0249,0.3646,0.1063,0.0031,2.8893,0.048,0.0755,0.2113,0.012523,1.594396,0.021699000000000024,0.02595999999999998,0.33712400000000015,0.10514199999999989,0.003440999999999997,0.9279319999999988
3.7488,0.0113,0.0,0.0215,0.0248,0.3665,0.1064,0.0017,2.884,0.0479,0.0731,0.2116,0.011576000000000001,0.09417999999999999,0.021372000000000006,0.024744999999999982,0.36516499999999985,0.10626100000000006,0.0020040000000000006,2.7651909999999975
3.7702,0.012,0.0,0.0213,0.0248,0.3715,0.1065,0.0029,2.9007,0.048,0.0708,0.2117,0.012162000000000006,0.648984,0.021479000000000036,0.025197999999999984,0.32183900000000015,0.10586499999999996,0.002866000000000004,2.1781400000000004
3.7524,0.0119,0.0,0.0213,0.0247,0.3737,0.1064,0.0035,2.8803,0.0477,0.0711,0.2118,0.01209000000000001,0.3237619999999999,0.021454000000000025,0.024987999999999996,0.34963599999999995,0.10554200000000011,0.0037660000000000016,2.4802460000000033
3.7423,0.0115,0.0,0.0214,0.0249,0.367,0.1064,0.0042,2.8742,0.0478,0.0732,0.2117,0.012148999999999998,0.5886250000000003,0.021686000000000018,0.025292,0.3133330000000004,0.10628500000000007,0.003947999999999998,2.1358690000000005
3.9192,0.013,0.0,0.0213,0.0249,0.3725,0.1067,0.0053,2.9041,0.0474,0.2124,0.2116,0.012699999999999994,0.067656,0.021536000000000034,0.024913999999999988,0.408042,0.106381,0.00465100000000001,2.829110000000002
4.1785,0.0144,0.0,0.0213,0.0249,0.3665,0.1067,0.0068,2.8753,0.0468,0.5035,0.2123,0.013217999999999997,1.6304739999999986,0.022546999999999984,0.025953999999999998,0.4943700000000005,0.10690400000000011,0.0048510000000000055,0.9136080000000009
4.1757,0.0143,0.0,0.0207,0.0248,0.3753,0.1067,0.0083,2.9031,0.0469,0.4638,0.2118,0.013840000000000009,2.199883999999997,0.022252000000000004,0.02634600000000001,0.3681600000000003,0.10620400000000013,0.006356000000000001,0.3577979999999996
4.1726,0.0145,0.0,0.0211,0.0248,0.3798,0.107,0.007,2.9058,0.0469,0.4543,0.2114,0.014274999999999987,0.9493430000000003,0.021570999999999976,0.025394999999999973,0.3522120000000001,0.106684,0.006872000000000004,1.834926
4.2329,0.0144,0.0,0.0215,0.0248,0.4514,0.1067,0.0082,2.8975,0.0468,0.4496,0.212,0.014169999999999999,1.192912,0.021789000000000024,0.025557999999999984,0.3879939999999998,0.10643699999999995,0.0075729999999999955,1.5697180000000004
4.2447,0.0146,0.0,0.022,0.0246,0.4772,0.1068,0.0065,2.8876,0.0469,0.4461,0.2124,0.014063299999999977,0.4132640666666667,0.02189876666666667,0.02706379999999997,0.43148076666666724,0.10674713333333324,0.06682746666666665,2.3845221666666654
4.2527,0.0146,0.0,0.0219,0.0249,0.4617,0.1069,0.0074,2.9107,0.0468,0.4457,0.2121,0.012975999999999979,0.9191159999999999,0.021697999999999974,0.025520999999999967,0.34576200000000035,0.10423500000000006,0.005334000000000005,1.7640579999999997
4.267,0.0145,0.0,0.0218,0.0248,0.4717,0.1068,0.0091,2.9154,0.0471,0.443,0.2128,0.07970899999999996,2.353217999999998,0.022342999999999988,0.026377000000000032,0.2590080000000001,0.10240000000000009,0.00831000000000001,0.011386999999999994
4.2815,0.0145,0.0,0.022,0.0249,0.4816,0.1068,0.0086,2.9235,0.0468,0.441,0.2118,0.014699999999999986,1.0405210000000007,0.022072,0.02548100000000001,0.40799600000000025,0.10476399999999986,0.008737000000000007,1.6710749999999992
4.3321,0.0143,0.0,0.0217,0.0248,0.486,0.1066,0.0073,2.915,0.1049,0.4401,0.2114,0.013699000000000025,2.4780730000000046,0.022338999999999987,0.02659699999999997,0.1802570000000001,0.10632299999999985,0.006257000000000006,0.09621999999999999
4.3456,0.0142,0.0,0.0223,0.0249,0.4772,0.1063,0.0069,2.8888,0.1543,0.4395,0.2112,0.01386700000000001,1.9337480000000022,0.02263499999999999,0.02608499999999999,0.22021600000000027,0.1071380000000001,0.007127999999999995,0.5048090000000007
4.3257,0.0141,0.0,0.0217,0.024,0.4771,0.1062,0.0067,2.8889,0.1364,0.4388,0.2118,0.013897999999999999,0.127748,0.02172400000000003,0.024414,0.45039400000000024,0.10632099999999996,0.006511000000000005,2.7440060000000006
4.3253,0.0144,0.0,0.0219,0.0248,0.478,0.1066,0.007,2.8886,0.1343,0.4381,0.2116,0.014028999999999991,0.125434,0.021806000000000023,0.02474199999999998,0.45330700000000057,0.10648500000000004,0.006663000000000006,2.7438999999999982
4.3265,0.014,0.0,0.0216,0.0251,0.4784,0.1068,0.0069,2.8894,0.1343,0.4384,0.2116,0.012728000000000007,0.6142779999999997,0.021578000000000035,0.025224000000000003,0.34177899999999967,0.10638700000000006,0.005354,2.1932219999999973
4.3026,0.0144,0.0,0.0219,0.0249,0.4699,0.107,0.0074,2.8771,0.1339,0.4346,0.2115,0.014048,1.0745979999999995,0.02209500000000001,0.025577999999999993,0.3970820000000001,0.10687099999999994,0.0064779999999999985,1.6735390000000003
4.3107,0.0146,0.0,0.022,0.0247,0.4718,0.1067,0.0071,2.8853,0.1339,0.433,0.2116,0.013836000000000015,2.4418850000000005,0.022482999999999996,0.026663999999999986,0.3695210000000001,0.10701300000000007,0.005233000000000008,0.06871199999999994
4.3493,0.0143,0.0,0.0219,0.0247,0.4771,0.1064,0.0081,2.9192,0.1339,0.4319,0.2118,0.014142999999999994,0.7176239999999997,0.022175000000000007,0.025212999999999992,0.38934800000000036,0.10006600000000006,0.007715999999999994,2.0161729999999993
4.2983,0.0143,0.0,0.0218,0.0248,0.467,0.1064,0.0072,2.8803,0.1331,0.4318,0.2116,0.013884000000000016,2.295167,0.02214400000000002,0.02626300000000001,0.3176169999999996,0.10606199999999992,0.005135000000000004,0.29850699999999963
4.2919,0.0141,0.0,0.0219,0.0245,0.4575,0.1063,0.0076,2.8881,0.1324,0.4281,0.2114,0.013938000000000011,1.123316,0.022013000000000015,0.02537300000000001,0.389164,0.10624199999999984,0.006466000000000008,1.6221180000000004
4.2992,0.0143,0.0,0.0217,0.0248,0.471,0.1062,0.0072,2.8837,0.1317,0.4272,0.2114,0.014064000000000004,1.0463720000000005,0.02199900000000002,0.025486999999999975,0.40116699999999966,0.10619499999999993,0.006235000000000002,1.7059480000000014
