Consumo_T,UTEM CIER DAVID-Mains_A (kWatts),UTEM CIER DAVID-Mains_B (kWatts),UTEM CIER DAVID-Mains_C (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 1 (kWatts),UTEM CIER DAVID-Air Conditioner-AC fotovoltaica 2 (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna  (kWatts),UTEM CIER DAVID-Air Conditioner-AC Aula Magna (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tab Secundario L3 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L1 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L2 (kWatts),UTEM CIER DAVID-Sub Panel-Tablero Secundario2 L3 (kWatts),UTEM CIER DAVID-Solar_Generation-Inversor (kWatts),UTEM CIER DAVID-Room_Multi-use Circuit-Contactos David (kWatts),UTEM CIER DAVID-Lights-Alumbrado (kWatts),UTEM CIER DAVID-Lights-Alumbrado Fotovoltaico (kWatts),UTEM CIER DAVID-Other-Circuit_15 (kWatts),UTEM CIER DAVID-Other-Circuit_16 (kWatts)
11.28,1.3429,1.6132,2.3024,0.0167,0.0077,2.6811,3.2113,0.0323,0.0269,0.0084,0.0187,0.0,0.0048,0.0,0.0183,0.0,0.0,0,0
11.71,1.3987,1.6742,2.3835,0.0166,0.0076,2.7884,3.3348,0.0322,0.0268,0.0084,0.0188,0.0,0.0042,0.0,0.0182,0.0,0.0,0,0
11.69,1.3986,1.6698,2.3706,0.0165,0.0068,2.7876,3.3263,0.0321,0.0268,0.0084,0.0186,0.0,0.0052,0.0,0.0181,0.0,0.0,0,0
11.27,1.3479,1.6098,2.2902,0.0157,0.0067,2.6867,3.2064,0.0306,0.0256,0.008,0.0176,0.0,0.0068,0.0,0.0171,0.0,0.0,0,0
11.63,1.3879,1.656,2.3763,0.0161,0.0067,2.7668,3.2985,0.0312,0.026,0.0082,0.0179,0.0,0.0179,0.0,0.0171,0.0,0.0,0,0
11.91,1.4193,1.6956,2.4403,0.0163,0.0068,2.8294,3.377,0.0318,0.0266,0.0083,0.0182,0.0,0.0257,0.0,0.0177,0.001,0.0,0,0
8.34,0.9899,1.1836,1.7165,0.0113,0.0048,1.9732,2.3571,0.022,0.0184,0.0058,0.0126,0.0,0.0311,0.0,0.0122,0.0,0.0,0,0
10.88,1.29,1.5414,2.249,0.0147,0.0062,2.5717,3.0697,0.0285,0.0238,0.0075,0.0162,0.0,0.0498,0.0,0.0157,0.0,0.0,0,0
11.47,1.3517,1.6186,2.3929,0.0151,0.0071,2.6992,3.223,0.0296,0.0247,0.0078,0.0167,0.0,0.0627,0.0,0.016,0.0,0.0,0,0
12.11,1.4176,1.7019,2.551,0.0156,0.0069,2.8358,3.3889,0.0308,0.0258,0.0081,0.0174,0.0,0.0969,0.0,0.0166,0.0,0.0,0,0
12.43,1.4551,1.7466,2.6185,0.0159,0.0073,2.9069,3.4783,0.0316,0.0262,0.0082,0.0177,0.0,0.1036,0.0,0.0169,0.0,0.0,0,0
12.36,1.4562,1.7469,2.5773,0.016,0.0072,2.9106,3.4788,0.0315,0.0264,0.0083,0.0179,0.0,0.0679,0.0,0.017,0.0,0.0,0,0
12.62,1.4745,1.7694,2.6478,0.0159,0.0075,2.9738,3.5237,0.0315,0.0265,0.0083,0.0177,0.0,0.1036,0.0,0.017,0.0,0.0,0,0
17.03,2.5144,2.4944,2.926,0.7809,0.8245,2.87,3.3897,0.0307,0.0257,0.0082,0.3373,0.4197,0.0735,0.0,0.0351,0.0,0.3,0,0
25.47,4.7871,3.2647,3.804,2.4945,2.639,2.8832,3.3814,0.0307,0.032,0.0085,0.8734,0.3408,0.0587,0.0,0.0865,0.0006,0.781,0,0
26.39,5.0201,3.3069,3.961,2.6106,2.7435,2.9808,3.5283,0.0317,0.035,0.0089,0.9334,0.2451,0.0529,0.0,0.1198,0.0033,0.8075,0,0
25.96,4.8188,3.4786,3.8081,2.5125,2.6372,2.8791,3.38,0.0302,0.0265,0.0084,0.8957,0.5501,0.0466,0.0,0.1182,0.0033,0.7715,0,0
26.14,4.8512,3.5224,3.8011,2.5149,2.6352,2.888,3.3848,0.0304,0.0234,0.0085,0.9305,0.5947,0.0303,0.0,0.1514,0.0033,0.7729,0,0
21.7,4.0614,2.8883,3.1571,2.1031,2.2024,2.4064,2.828,0.0257,0.0198,0.0072,0.7804,0.4407,0.0053,0.0,0.125,0.0033,0.6502,0,0
26.6,4.9555,3.5487,3.8933,2.5831,2.713,2.96,3.4841,0.0318,0.0245,0.0088,0.9207,0.537,0.0264,0.0,0.1166,0.0033,0.798,0,0
23.19,4.4785,3.0748,3.2359,2.4902,2.613,2.2719,2.6778,0.0305,0.0235,0.0085,0.8805,0.5142,0.0089,0.0,0.1104,0.0033,0.7642,0,0
