fecha,Potencia_activa_Total,Potencia_aparente_Total,Potencia_reactiva
2024-09-23_10-00-00.7,0.0030361525714397,0.0060771722346544,0.006793397147724712
2024-09-23_10-00-01.5,0.0035635365638881,0.0070062042213976,0.007860387422646352
2024-09-23_10-00-02.3,0.0037783570587635,0.0076842084527015,0.008562887457398768
2024-09-23_10-00-03.1,0.0034871401730924,0.0069535938091576,0.007778985374041386
2024-09-23_10-00-03.9,0.003714986378327,0.0074100894853472,0.00828918270832585
2024-09-23_10-00-06.4,0.0035350795369595,0.0069658416323363,0.007811513104349211
2024-09-23_10-00-07.2,0.003731922712177,0.0072122286073863,0.00812055962448795
2024-09-23_10-00-08,0.0038293451070785,0.007570578251034,0.008483957744127153
2024-09-23_10-00-08.8,0.0036771041341125,0.0074260272085666,0.008286553862461686
2024-09-23_10-00-09.6,0.0036771041341125,0.0074260272085666,0.008286553862461686
2024-09-23_10-00-10.4,0.0035062301903963,0.0067116268910467,0.00757229064898249
2024-09-23_10-00-11.2,0.0035095529165118,0.0067072813399136,0.007569979170813462
2024-09-23_10-00-12.9,0.0034176404587924,0.0066164666786789,0.007447005949752083
2024-09-23_10-00-13.7,0.0034176404587924,0.0066164666786789,0.007447005949752083
2024-09-23_10-00-14.5,0.0034932738635689,0.0068580070510506,0.007696442229897743
2024-09-23_10-00-15.3,0.0035821516066789,0.0069092502817511,0.007782644125816744
2024-09-23_10-00-16.1,0.0036695436574518,0.0073298667557537,0.008197102982825579
2024-09-23_10-00-16.9,0.0037314326036721,0.0073476154357194,0.008240815606902579
2024-09-23_10-00-17.7,0.0037314326036721,0.0073831933550536,0.008272553015475621
2024-09-23_10-00-19.4,0.0032450971193611,0.0062597468495368,0.0070508925629576575
2024-09-23_10-00-20.2,0.0034106511157006,0.0066018966026604,0.007430853234000029
2024-09-23_10-00-21,0.0030727637931704,0.0061789937317371,0.006900857980386593
2024-09-23_10-00-21.8,9.850263268162962e-06,9.850263268162962e-06,1.3930375906781589e-05
2024-09-23_10-00-22.6,9.850263268162962e-06,9.850263268162962e-06,1.3930375906781589e-05
2024-09-23_10-00-23.4,0.002743599936366,0.0057529639452695,0.006373690827644398
2024-09-23_10-00-24.2,0.0034122779034078,0.0066286581568419,0.007455383923739393
2024-09-23_10-00-25.9,0.0036161472089588,0.0071759959682822,0.008035635555054927
2024-09-23_10-00-26.7,0.0036161472089588,0.0071759959682822,0.008035635555054927
2024-09-23_10-00-27.5,0.0035478130448609,0.0069699389860033,0.007820935165943642
2024-09-23_10-00-28.3,0.0035907756537199,0.006797513924539,0.007687643679935301
2024-09-23_10-00-29.1,0.003772851312533,0.0072683752514421,0.008189242078621073
2024-09-23_10-00-29.9,0.0039092865772545,0.0075250039808452,0.00847987066262442
2024-09-23_10-00-31.6,0.0037143060471862,0.0071438490413129,0.008051748166530745
2024-09-23_10-00-32.4,0.0037342349532991,0.0069636218249797,0.007901679543475194
2024-09-23_10-00-33.2,0.0036191307008266,0.0070121558383107,0.00789103520017624
2024-09-23_10-00-34,0.0035028778947889,0.0067912326194345,0.007641400005043048
2024-09-23_10-00-34.8,0.0035785671789199,0.0069218813441693,0.007792213061563559
2024-09-23_10-00-35.6,0.0035785671789199,0.0069218813441693,0.007792213061563559
2024-09-23_10-00-37.3,0.0038843750953674,0.007574385497719,0.008512325507730916
2024-09-23_10-00-38.1,0.0037736222147941,0.0075820600613951,0.008469230153596618
2024-09-23_10-00-38.9,0.0037876814603805,0.0075800092890858,0.008473669315469962
2024-09-23_10-00-39.7,0.0037876814603805,0.0075800092890858,0.008473669315469962
2024-09-23_10-00-40.5,0.0037343590520322,0.0074125593528151,0.00830008877594098
2024-09-23_10-00-41.3,0.0036104568280279,0.0072349268011748,0.008085763063892654
2024-09-23_10-00-43,0.0037156699690967,0.0073740999214351,0.008257333284454263
2024-09-23_10-00-43.8,0.0036724009551107,0.007392855361104,0.008254746462811692
2024-09-23_10-00-44.6,0.0036724009551107,0.007392855361104,0.008254746462811692
2024-09-23_10-00-45.4,0.003662506584078,0.0071739014238119,0.008054738736730392
2024-09-23_10-00-46.2,0.0036470359191298,0.0073788459412753,0.008230931807547545
2024-09-23_10-00-47,0.003716632258147,0.0075020543299615,0.008372226377254318
2024-09-23_10-00-48.7,0.0037825622130185,0.007435075007379,0.00834194924826969
2024-09-23_10-00-49.5,0.0036795667838305,0.0073004001751542,0.008175270908909392
2024-09-23_10-00-50.3,0.0038478232454508,0.0076370579190552,0.008551631270537527
2024-09-23_10-00-51.1,0.0037175994366407,0.0074702175334095,0.008344141391885085
2024-09-23_10-00-51.9,0.0036990921944379,0.0073062609881162,0.008189305995590842
2024-09-23_10-00-52.7,0.0036990921944379,0.0064782970584928,0.007460001061731014
2024-09-23_10-00-53.6,0.003096439410001,0.0064782970584928,0.0071802694794752524
2024-09-23_10-00-54.4,8.705615982762538e-06,8.705615982762538e-06,1.2311600191634761e-05
2024-09-23_10-00-55.2,0.0027003306895494,0.0056528551504015,0.006264707270443138
2024-09-23_10-00-56,0.0029625569004565,0.0059629948809742,0.006658382036123111
2024-09-23_10-00-56.8,0.0036442575510591,0.0069564897567033,0.007853239002702591
2024-09-23_10-00-57.6,0.0036442575510591,0.0069564897567033,0.007853239002702591
2024-09-23_10-00-58.4,0.0037628735881298,0.0073792487382888,0.008283268049615542
2024-09-23_10-00-59.3,0.0034823883324861,0.006861132569611,0.007694294550900177
2024-09-23_10-01-00.1,0.0029490089509636,0.0058664227835834,0.006565940151159607
2024-09-23_10-01-00.9,0.0027607318479567,0.0056707826443016,0.0063070925262940815
2024-09-23_10-01-01.7,0.0027607318479567,0.0056707826443016,0.0063070925262940815
2024-09-23_10-01-02.5,0.0032739392481744,0.0062020332552492,0.007013123034708128
2024-09-23_10-01-03.3,0.0026952908374369,0.0056890253908932,0.006295204730316468
2024-09-23_10-01-04.1,0.0025042030028998,0.0056332014501094,0.00616473772818009
2024-09-23_10-01-04.9,0.0025957571342587,0.0056783226318657,0.006243500861825291
2024-09-23_10-01-05.7,0.0025957571342587,0.0056409589014947,0.006209538825742797
2024-09-23_10-01-07.4,0.0027660876512527,0.006007804069668,0.006613996570450582
2024-09-23_10-01-08.2,0.002867829054594,0.0059978431090712,0.0066482001660153394
2024-09-23_10-01-09,0.0028214079793542,0.00598272588104,0.00661463165668576
2024-09-23_10-01-09.8,0.0027931879740208,0.0058536357246339,0.006485903965903648
2024-09-23_10-01-10.6,0.0027931879740208,0.0058536357246339,0.006485903965903648
2024-09-23_10-01-11.4,0.002886006142944,0.0060181566514074,0.006674371950827256
2024-09-23_10-01-12.3,0.0031402576714754,0.0065645542927086,0.0072769905390332205
2024-09-23_10-01-13.1,0.0031545308884233,0.0065462281927466,0.007266647691854003
2024-09-23_10-01-13.9,0.0030261008068919,0.006164732389152,0.0068674020941933735
2024-09-23_10-01-14.7,0.0030261008068919,0.006164732389152,0.0068674020941933735
2024-09-23_10-01-15.5,0.0029448929708451,0.0062375916168093,0.006897821669760862
2024-09-23_10-01-16.3,0.0029752098489552,0.0062178657390177,0.006893020237440925
2024-09-23_10-01-18,0.0032507316209375,0.0067556765861809,0.007497094251003903
2024-09-23_10-01-18.8,0.003108178731054,0.0066178319975733,0.007311393531487788
2024-09-23_10-01-19.6,0.003108178731054,0.0066178319975733,0.007311393531487788
2024-09-23_10-01-20.4,0.0032082230318337,0.0067070829682052,0.007434894549647392
2024-09-23_10-01-21.2,0.0036188475787639,0.0075703021138906,0.00839080043225328
