fecha,valor
2024-09-23_10:00:0,124.81279754638672
2024-09-23_10:00:1,124.81391906738281
2024-09-23_10:00:2,124.81037902832031
2024-09-23_10:00:3,124.81798553466797
2024-09-23_10:00:3,124.85132598876953
2024-09-23_10:00:4,124.85132598876953
2024-09-23_10:00:5,124.7883071899414
2024-09-23_10:00:6,124.7910385131836
2024-09-23_10:00:7,124.82894897460938
2024-09-23_10:00:7,124.85176086425781
2024-09-23_10:00:8,124.85176086425781
2024-09-23_10:00:9,124.82347869873047
2024-09-23_10:00:10,124.795654296875
2024-09-23_10:00:11,124.78311920166016
2024-09-23_10:00:12,124.75804138183594
2024-09-23_10:00:12,124.78947448730469
2024-09-23_10:00:13,124.78947448730469
2024-09-23_10:00:14,124.80488586425781
2024-09-23_10:00:15,124.82376098632812
2024-09-23_10:00:16,124.88104248046875
2024-09-23_10:00:16,124.86273193359375
2024-09-23_10:00:17,124.86273193359375
2024-09-23_10:00:18,124.84295654296875
2024-09-23_10:00:19,124.76851654052734
2024-09-23_10:00:20,124.7980728149414
2024-09-23_10:00:20,124.78301239013672
2024-09-23_10:00:21,124.78301239013672
2024-09-23_10:00:22,124.74594116210938
2024-09-23_10:00:23,124.76171875
2024-09-23_10:00:24,124.816162109375
2024-09-23_10:00:25,124.88392639160156
2024-09-23_10:00:25,124.89376831054688
2024-09-23_10:00:26,124.89376831054688
2024-09-23_10:00:27,124.84911346435547
2024-09-23_10:00:28,124.83489227294922
2024-09-23_10:00:29,124.8581771850586
2024-09-23_10:00:29,124.8543701171875
2024-09-23_10:00:30,124.8543701171875
2024-09-23_10:00:31,124.82319641113281
2024-09-23_10:00:32,124.77490234375
2024-09-23_10:00:33,124.8024673461914
2024-09-23_10:00:33,124.78562927246094
2024-09-23_10:00:34,124.78562927246094
2024-09-23_10:00:35,124.84455871582031
2024-09-23_10:00:36,124.8677749633789
2024-09-23_10:00:37,124.69568634033203
2024-09-23_10:00:38,124.85047149658203
2024-09-23_10:00:38,124.82221984863281
2024-09-23_10:00:39,124.82221984863281
2024-09-23_10:00:40,124.77210998535156
2024-09-23_10:00:41,124.76337432861328
2024-09-23_10:00:42,124.86797332763672
2024-09-23_10:00:42,124.80509185791016
2024-09-23_10:00:43,124.80509185791016
2024-09-23_10:00:44,124.72702026367188
2024-09-23_10:00:45,124.91710662841797
2024-09-23_10:00:46,124.68385314941406
2024-09-23_10:00:47,124.65380859375
2024-09-23_10:00:47,124.92047882080078
2024-09-23_10:00:48,124.92047882080078
2024-09-23_10:00:49,124.91233825683594
2024-09-23_10:00:50,124.81735229492188
2024-09-23_10:00:51,124.62476348876953
2024-09-23_10:00:51,124.70723724365234
2024-09-23_10:00:52,124.70723724365234
2024-09-23_10:00:53,124.74288177490234
2024-09-23_10:00:54,124.6689453125
2024-09-23_10:00:55,124.61211395263672
2024-09-23_10:00:55,124.6322021484375
2024-09-23_10:00:56,124.6322021484375
2024-09-23_10:00:57,124.72394561767578
2024-09-23_10:00:58,124.56045532226562
2024-09-23_10:00:59,124.63358306884766
2024-09-23_10:00:60,124.73611450195312
2024-09-23_10:01:0,124.67755889892578
2024-09-23_10:01:1,124.67755889892578
2024-09-23_10:01:2,124.5063705444336
2024-09-23_10:01:3,124.50173950195312
2024-09-23_10:01:4,124.65436553955078
2024-09-23_10:01:4,124.43547058105469
2024-09-23_10:01:5,124.43547058105469
2024-09-23_10:01:6,124.30839538574219
2024-09-23_10:01:7,124.58860778808594
2024-09-23_10:01:8,124.76559448242188
2024-09-23_10:01:8,124.59993743896484
2024-09-23_10:01:9,124.59993743896484
2024-09-23_10:01:10,124.35285186767578
2024-09-23_10:01:11,124.57591247558594
2024-09-23_10:01:12,124.8203353881836
2024-09-23_10:01:13,124.83782196044922
2024-09-23_10:01:13,124.51203918457031
2024-09-23_10:01:14,124.51203918457031
2024-09-23_10:01:15,124.63241577148438
2024-09-23_10:01:16,124.78995513916016
2024-09-23_10:01:17,124.83602905273438
2024-09-23_10:01:17,124.73597717285156
2024-09-23_10:01:18,124.73597717285156
2024-09-23_10:01:19,124.65693664550781
2024-09-23_10:01:20,124.56954956054688
2024-09-23_10:01:21,124.77643585205078
2024-09-23_10:01:21,124.82012939453125
2024-09-23_10:01:22,124.64028930664062
2024-09-23_10:01:23,124.64028930664062
2024-09-23_10:01:24,124.68914031982422
2024-09-23_10:01:25,124.87123107910156
2024-09-23_10:01:26,124.85850524902344
2024-09-23_10:01:26,124.61929321289062
2024-09-23_10:01:27,124.61929321289062
2024-09-23_10:01:28,124.83998107910156
2024-09-23_10:01:29,124.96463775634766
2024-09-23_10:01:30,124.827880859375
2024-09-23_10:01:30,124.61665344238281
2024-09-23_10:01:31,124.61665344238281
2024-09-23_10:01:32,124.85989379882812
2024-09-23_10:01:33,124.87278747558594
2024-09-23_10:01:34,124.76669311523438
2024-09-23_10:01:35,124.80667877197266
2024-09-23_10:01:35,124.7249755859375
2024-09-23_10:01:36,124.7249755859375
2024-09-23_10:01:37,124.65047454833984
2024-09-23_10:01:38,124.82439422607422
2024-09-23_10:01:39,124.84956359863281
2024-09-23_10:01:39,124.75228118896484
2024-09-23_10:01:40,124.75228118896484
2024-09-23_10:01:41,122.05933380126953
2024-09-23_10:01:42,120.96837615966797
2024-09-23_10:01:43,124.00241088867188
2024-09-23_10:01:43,124.23074340820312
2024-09-23_10:01:44,124.31877136230469
2024-09-23_10:01:45,124.31877136230469
2024-09-23_10:01:46,124.35438537597656
2024-09-23_10:01:47,124.06242370605469
2024-09-23_10:01:48,124.23361206054688
2024-09-23_10:01:48,124.36772918701172
2024-09-23_10:01:49,124.36772918701172
2024-09-23_10:01:50,124.29777526855469
2024-09-23_10:01:51,124.29749298095703
2024-09-23_10:01:52,124.3177490234375
2024-09-23_10:01:52,124.1276626586914
2024-09-23_10:01:53,124.1276626586914
2024-09-23_10:01:54,124.27877807617188
2024-09-23_10:01:55,119.17440795898438
2024-09-23_10:01:56,118.54986572265625
2024-09-23_10:01:56,118.62982177734375
2024-09-23_10:01:57,118.5049057006836
2024-09-23_10:01:58,118.5049057006836
2024-09-23_10:01:59,118.40824890136719
2024-09-23_10:02:0,118.54872131347656
2024-09-23_10:02:1,118.60702514648438
2024-09-23_10:02:1,118.609130859375
2024-09-23_10:02:2,118.609130859375
2024-09-23_10:02:3,118.61054992675781
2024-09-23_10:02:4,118.69572448730469
2024-09-23_10:02:5,118.65222930908203
2024-09-23_10:02:5,118.63243865966797
2024-09-23_10:02:6,118.63243865966797
2024-09-23_10:02:7,118.65512084960938
2024-09-23_10:02:8,118.53457641601562
2024-09-23_10:02:9,118.54328918457031
2024-09-23_10:02:10,120.38899993896484
2024-09-23_10:02:10,124.20947265625
2024-09-23_10:02:11,124.20947265625
2024-09-23_10:02:12,124.18157958984375
2024-09-23_10:02:13,124.2098617553711
2024-09-23_10:02:14,124.22918701171875
2024-09-23_10:02:14,124.2105712890625
2024-09-23_10:02:15,124.2105712890625
2024-09-23_10:02:16,124.22988891601562
2024-09-23_10:02:17,124.24658203125
2024-09-23_10:02:18,124.20431518554688
2024-09-23_10:02:18,124.18354797363281
2024-09-23_10:02:19,124.18354797363281
2024-09-23_10:02:20,124.2331771850586
2024-09-23_10:02:21,124.24683380126953
2024-09-23_10:02:22,124.24957275390625
2024-09-23_10:02:23,124.19462585449219
2024-09-23_10:02:23,124.284912109375
2024-09-23_10:02:24,124.284912109375
2024-09-23_10:02:25,124.2652587890625
2024-09-23_10:02:26,124.24911499023438
2024-09-23_10:02:27,124.29927825927734
2024-09-23_10:02:27,124.33533477783203
2024-09-23_10:02:28,124.33533477783203
2024-09-23_10:02:29,124.29412078857422
2024-09-23_10:02:30,124.21582794189453
2024-09-23_10:02:31,124.30281066894531
2024-09-23_10:02:31,124.3634262084961
2024-09-23_10:02:32,124.3634262084961
2024-09-23_10:02:33,124.36682891845703
2024-09-23_10:02:34,124.27735137939453
2024-09-23_10:02:35,124.3101806640625
2024-09-23_10:02:35,124.27589416503906
2024-09-23_10:02:36,124.28023529052734
2024-09-23_10:02:37,124.28023529052734
2024-09-23_10:02:38,124.23235321044922
2024-09-23_10:02:39,124.21135711669922
2024-09-23_10:02:40,124.20449829101562
2024-09-23_10:02:40,124.19392395019531
2024-09-23_10:02:41,124.19392395019531
2024-09-23_10:02:42,124.23155212402344
2024-09-23_10:02:43,124.2853012084961
2024-09-23_10:02:44,124.33935546875
2024-09-23_10:02:44,124.22101593017578
2024-09-23_10:02:45,124.22101593017578
2024-09-23_10:02:46,124.20397186279297
2024-09-23_10:02:47,124.25532531738281
2024-09-23_10:02:48,124.21991729736328
2024-09-23_10:02:48,124.16819763183594
2024-09-23_10:02:49,124.16819763183594
2024-09-23_10:02:50,124.23798370361328
2024-09-23_10:02:51,124.2972640991211
2024-09-23_10:02:52,124.33731842041016
2024-09-23_10:02:53,124.2873306274414
2024-09-23_10:02:53,124.21897888183594
2024-09-23_10:02:54,124.21897888183594
2024-09-23_10:02:55,124.31315612792969
2024-09-23_10:02:56,124.27140808105469
2024-09-23_10:02:57,124.13199615478516
2024-09-23_10:02:57,124.32231903076172
2024-09-23_10:02:58,124.32231903076172
2024-09-23_10:02:59,124.37298583984375
2024-09-23_10:03:0,124.26811218261719
2024-09-23_10:03:1,124.24520111083984
2024-09-23_10:03:1,124.25487518310547
2024-09-23_10:03:2,124.25487518310547
2024-09-23_10:03:3,124.15675354003906
2024-09-23_10:03:4,124.1859359741211
2024-09-23_10:03:5,124.28594970703125
2024-09-23_10:03:6,124.4202880859375
2024-09-23_10:03:6,124.44441986083984
2024-09-23_10:03:7,124.44441986083984
2024-09-23_10:03:8,124.37044525146484
2024-09-23_10:03:9,124.35919952392578
2024-09-23_10:03:10,124.37063598632812
2024-09-23_10:03:10,124.3085708618164
2024-09-23_10:03:11,124.3085708618164
2024-09-23_10:03:12,124.27394104003906
2024-09-23_10:03:13,124.31523132324219
2024-09-23_10:03:14,124.33262634277344
2024-09-23_10:03:14,124.31285095214844
2024-09-23_10:03:15,124.31285095214844
2024-09-23_10:03:16,124.32215881347656
2024-09-23_10:03:17,124.28831481933594
2024-09-23_10:03:18,124.31017303466797
2024-09-23_10:03:18,124.38005065917969
2024-09-23_10:03:19,124.38005065917969
2024-09-23_10:03:20,124.35319519042969
2024-09-23_10:03:21,124.41587829589844
2024-09-23_10:03:22,124.33157348632812
2024-09-23_10:03:23,124.26260375976562
2024-09-23_10:03:23,124.40968322753906
2024-09-23_10:03:24,124.40968322753906
2024-09-23_10:03:25,124.44134521484375
2024-09-23_10:03:26,124.42676544189453
2024-09-23_10:03:27,124.29842376708984
2024-09-23_10:03:27,124.3899154663086
2024-09-23_10:03:28,124.3899154663086
2024-09-23_10:03:29,124.33609008789062
2024-09-23_10:03:30,124.25375366210938
2024-09-23_10:03:31,124.3349838256836
2024-09-23_10:03:31,124.32044219970703
2024-09-23_10:03:32,124.32044219970703
2024-09-23_10:03:33,124.32818603515625
2024-09-23_10:03:34,124.35330963134766
2024-09-23_10:03:35,124.34732818603516
2024-09-23_10:03:36,124.3351821899414
2024-09-23_10:03:36,124.32791900634766
2024-09-23_10:03:37,124.32791900634766
2024-09-23_10:03:38,124.2862548828125
2024-09-23_10:03:39,124.16925811767578
2024-09-23_10:03:40,124.26435852050781
2024-09-23_10:03:40,124.33409881591797
2024-09-23_10:03:41,124.33409881591797
2024-09-23_10:03:42,124.23303985595703
2024-09-23_10:03:43,124.21797180175781
2024-09-23_10:03:44,124.35206604003906
2024-09-23_10:03:44,124.41549682617188
2024-09-23_10:03:45,124.41549682617188
2024-09-23_10:03:46,124.37925720214844
2024-09-23_10:03:47,124.24105834960938
2024-09-23_10:03:48,124.41012573242188
2024-09-23_10:03:48,124.36409759521484
2024-09-23_10:03:49,124.36409759521484
2024-09-23_10:03:50,124.34638977050781
2024-09-23_10:03:51,124.3003921508789
2024-09-23_10:03:52,124.33686065673828
2024-09-23_10:03:53,124.47111511230469
2024-09-23_10:03:53,124.48120880126953
2024-09-23_10:03:54,124.48120880126953
2024-09-23_10:03:55,124.36355590820312
2024-09-23_10:03:56,124.29930114746094
2024-09-23_10:03:57,124.36091613769531
2024-09-23_10:03:57,124.3577651977539
2024-09-23_10:03:58,124.3577651977539
2024-09-23_10:03:59,124.41481018066406
2024-09-23_10:04:0,124.36893463134766
2024-09-23_10:04:1,124.2864990234375
2024-09-23_10:04:1,124.35729217529297
2024-09-23_10:04:2,124.35729217529297
2024-09-23_10:04:3,124.35496520996094
2024-09-23_10:04:4,124.43389129638672
2024-09-23_10:04:5,124.40701293945312
2024-09-23_10:04:6,124.30594635009766
2024-09-23_10:04:6,124.2864761352539
2024-09-23_10:04:7,124.2864761352539
2024-09-23_10:04:8,124.38245391845703
2024-09-23_10:04:9,124.32676696777344
2024-09-23_10:04:10,124.11518859863281
2024-09-23_10:04:10,124.2289810180664
2024-09-23_10:04:11,124.2289810180664
2024-09-23_10:04:12,124.20869445800781
2024-09-23_10:04:13,124.13480377197266
2024-09-23_10:04:14,124.15367889404297
2024-09-23_10:04:14,124.20050048828125
2024-09-23_10:04:15,124.20050048828125
2024-09-23_10:04:16,124.36038208007812
2024-09-23_10:04:17,124.42012023925781
2024-09-23_10:04:18,124.36769104003906
2024-09-23_10:04:18,124.35690307617188
2024-09-23_10:04:19,124.36198425292969
2024-09-23_10:04:20,124.36198425292969
2024-09-23_10:04:21,124.41815185546875
2024-09-23_10:04:22,124.41596221923828
2024-09-23_10:04:23,124.33504486083984
2024-09-23_10:04:23,124.33019256591797
2024-09-23_10:04:24,124.33019256591797
2024-09-23_10:04:25,124.38992309570312
2024-09-23_10:04:26,124.31681823730469
2024-09-23_10:04:27,124.32543182373047
2024-09-23_10:04:27,124.26394653320312
2024-09-23_10:04:28,124.26394653320312
2024-09-23_10:04:29,124.36865997314453
2024-09-23_10:04:30,124.41572570800781
2024-09-23_10:04:31,124.29473114013672
2024-09-23_10:04:31,124.17239379882812
2024-09-23_10:04:32,124.17239379882812
2024-09-23_10:04:33,124.28652954101562
2024-09-23_10:04:34,124.25021362304688
2024-09-23_10:04:35,122.57572174072266
2024-09-23_10:04:36,118.35964965820312
2024-09-23_10:04:36,118.3999252319336
2024-09-23_10:04:37,118.3999252319336
2024-09-23_10:04:38,118.37605285644531
2024-09-23_10:04:39,118.41329193115234
2024-09-23_10:04:40,118.52880859375
2024-09-23_10:04:40,118.71305847167969
2024-09-23_10:04:41,118.71305847167969
2024-09-23_10:04:42,118.678955078125
2024-09-23_10:04:43,118.60549926757812
2024-09-23_10:04:44,118.53753662109375
2024-09-23_10:04:44,118.56069946289062
2024-09-23_10:04:45,118.56069946289062
2024-09-23_10:04:46,118.5506820678711
2024-09-23_10:04:47,118.53007507324219
2024-09-23_10:04:48,118.46965789794922
2024-09-23_10:04:48,118.43721771240234
2024-09-23_10:04:49,118.5010757446289
2024-09-23_10:04:50,118.5010757446289
2024-09-23_10:04:51,119.24745178222656
2024-09-23_10:04:52,124.1499252319336
2024-09-23_10:04:53,124.12220764160156
2024-09-23_10:04:53,124.15423583984375
2024-09-23_10:04:54,124.15423583984375
2024-09-23_10:04:55,124.1973876953125
2024-09-23_10:04:56,124.18865966796875
2024-09-23_10:04:57,124.14823150634766
2024-09-23_10:04:57,124.08698272705078
2024-09-23_10:04:58,124.08698272705078
2024-09-23_10:04:59,124.1040267944336
2024-09-23_10:05:0,124.1812973022461
2024-09-23_10:05:1,124.24239349365234
2024-09-23_10:05:1,124.16747283935547
2024-09-23_10:05:2,124.11421203613281
2024-09-23_10:05:3,124.11421203613281
2024-09-23_10:05:4,124.1604995727539
2024-09-23_10:05:5,124.28269958496094
2024-09-23_10:05:6,124.2135238647461
2024-09-23_10:05:6,124.23551177978516
2024-09-23_10:05:7,124.23551177978516
2024-09-23_10:05:8,124.32608032226562
2024-09-23_10:05:9,124.36715698242188
2024-09-23_10:05:10,124.3659439086914
2024-09-23_10:05:10,124.31636810302734
2024-09-23_10:05:11,124.31636810302734
2024-09-23_10:05:12,124.26782989501953
2024-09-23_10:05:13,124.29174041748047
2024-09-23_10:05:14,124.27852630615234
2024-09-23_10:05:14,124.20677185058594
2024-09-23_10:05:15,124.14703369140625
2024-09-23_10:05:16,124.14703369140625
2024-09-23_10:05:17,124.1303939819336
2024-09-23_10:05:18,124.18048858642578
2024-09-23_10:05:19,124.28685760498047
2024-09-23_10:05:19,124.30109405517578
2024-09-23_10:05:20,124.30109405517578
2024-09-23_10:05:21,124.28292083740234
2024-09-23_10:05:22,124.22127532958984
2024-09-23_10:05:23,124.30526733398438
2024-09-23_10:05:23,124.30378723144531
2024-09-23_10:05:24,124.30378723144531
2024-09-23_10:05:25,124.18949127197266
2024-09-23_10:05:26,124.01758575439453
2024-09-23_10:05:27,124.02992248535156
2024-09-23_10:05:27,124.17576599121094
2024-09-23_10:05:28,124.17576599121094
2024-09-23_10:05:29,124.22750091552734
2024-09-23_10:05:30,124.13737487792969
2024-09-23_10:05:31,123.99486541748047
2024-09-23_10:05:32,123.96138000488281
2024-09-23_10:05:32,124.03173828125
2024-09-23_10:05:33,124.03173828125
2024-09-23_10:05:34,124.00177001953125
2024-09-23_10:05:35,124.01565551757812
2024-09-23_10:05:36,123.98649597167969
2024-09-23_10:05:36,123.99456024169922
2024-09-23_10:05:37,123.99456024169922
2024-09-23_10:05:38,124.11369323730469
2024-09-23_10:05:39,124.18644714355469
2024-09-23_10:05:40,124.21293640136719
2024-09-23_10:05:40,124.23672485351562
2024-09-23_10:05:41,124.23672485351562
2024-09-23_10:05:42,124.38239288330078
2024-09-23_10:05:43,124.26666259765625
2024-09-23_10:05:44,124.22633361816406
2024-09-23_10:05:45,124.15265655517578
2024-09-23_10:05:45,124.04743194580078
2024-09-23_10:05:46,124.04743194580078
2024-09-23_10:05:47,123.97807312011719
2024-09-23_10:05:48,123.98885345458984
2024-09-23_10:05:49,124.16448974609375
2024-09-23_10:05:49,124.26011657714844
2024-09-23_10:05:50,124.26011657714844
2024-09-23_10:05:51,124.23307037353516
2024-09-23_10:05:52,124.19400787353516
2024-09-23_10:05:53,124.17415618896484
2024-09-23_10:05:53,124.244384765625
2024-09-23_10:05:54,124.244384765625
2024-09-23_10:05:55,124.17742156982422
2024-09-23_10:05:56,124.27044677734375
2024-09-23_10:05:57,124.20613098144531
2024-09-23_10:05:57,124.23130798339844
2024-09-23_10:05:58,124.23130798339844
2024-09-23_10:05:59,124.25086212158203
2024-09-23_10:06:0,124.31562805175781
2024-09-23_10:06:1,124.28536224365234
2024-09-23_10:06:2,124.29857635498047
2024-09-23_10:06:2,124.27632141113281
2024-09-23_10:06:3,124.27632141113281
2024-09-23_10:06:4,124.25802612304688
2024-09-23_10:06:5,124.28655242919922
2024-09-23_10:06:6,124.22022247314453
2024-09-23_10:06:6,124.06780242919922
2024-09-23_10:06:7,124.06780242919922
2024-09-23_10:06:8,124.01901245117188
2024-09-23_10:06:9,124.05349731445312
2024-09-23_10:06:10,124.11334228515625
2024-09-23_10:06:10,124.1082992553711
2024-09-23_10:06:11,124.1082992553711
2024-09-23_10:06:12,124.15959167480469
2024-09-23_10:06:13,124.10209655761719
2024-09-23_10:06:14,124.06502532958984
2024-09-23_10:06:15,124.00245666503906
2024-09-23_10:06:15,124.00957489013672
2024-09-23_10:06:16,124.00957489013672
2024-09-23_10:06:17,124.07830047607422
2024-09-23_10:06:18,124.04988098144531
2024-09-23_10:06:19,123.98657989501953
2024-09-23_10:06:19,123.96943664550781
2024-09-23_10:06:20,123.96943664550781
2024-09-23_10:06:21,124.07455444335938
