Consumo_T,Aula Medios,Cubiculos ,Direccion 1,Direccion 2 ,Rack,Sala Juntas,Maestros 1,Maestros 2,L1,L2 ,L3 
3.9158,0.0117,0,0.0223,0.0249,0.4875,0.1063,0.0035,2.9425,0.0478,0.0578,0.2115
3.906,0.0116,0,0.0224,0.0248,0.4791,0.1062,0.0025,2.9425,0.0479,0.0576,0.2114
3.8486,0.0117,0,0.022,0.0248,0.4676,0.1061,0.0019,2.8977,0.0477,0.0577,0.2114
3.8555,0.012,0,0.0221,0.0247,0.4682,0.1064,0.0032,2.9016,0.0479,0.0577,0.2117
3.8124,0.0117,0,0.0219,0.0245,0.4398,0.1064,0.0032,2.8876,0.0478,0.0578,0.2117
3.7523,0.0113,0,0.021,0.0248,0.3793,0.1066,0.0034,2.8889,0.0477,0.0578,0.2115
3.7268,0.0122,0,0.0213,0.0246,0.3781,0.1066,0.0029,2.8637,0.048,0.0579,0.2115
3.7166,0.0123,0,0.0212,0.0248,0.3716,0.1063,0.0036,2.8606,0.0478,0.0576,0.2108
3.7318,0.012,0,0.0211,0.0247,0.3713,0.1064,0.003,2.8768,0.0478,0.0579,0.2108
3.749,0.0119,0,0.0211,0.0243,0.3687,0.1062,0.0022,2.872,0.0478,0.0842,0.2106
3.7757,0.0117,0,0.0211,0.025,0.3739,0.106,0.0033,2.8947,0.0476,0.0812,0.2112
3.748,0.0119,0,0.0209,0.0248,0.373,0.1061,0.0014,2.8747,0.0479,0.0762,0.2111
4.1156,0.0119,0,0.0208,0.0247,0.374,0.1061,0.0032,2.8679,0.0473,0.0874,0.5723
4.2549,0.0125,0,0.0211,0.0248,0.3758,0.1059,0.0049,2.8853,0.0473,0.0856,0.6917
3.8913,0.012,0,0.021,0.0249,0.3775,0.1061,0.003,2.8864,0.0477,0.0794,0.3333
3.7548,0.0116,0,0.0213,0.0248,0.3775,0.106,0.0031,2.8747,0.0477,0.0768,0.2113
3.7492,0.0119,0,0.021,0.0248,0.3719,0.106,0.003,2.8727,0.0477,0.0784,0.2118
3.7309,0.012,0,0.0215,0.0248,0.3679,0.1063,0.0034,2.8587,0.0478,0.077,0.2115
3.7492,0.0122,0,0.0212,0.0247,0.3758,0.1061,0.0028,2.8723,0.0479,0.0745,0.2117
3.7537,0.0122,0,0.0212,0.0249,0.3742,0.1062,0.0018,2.8796,0.0479,0.0738,0.2119
3.7406,0.0122,0,0.0213,0.0249,0.3753,0.1061,0.0029,2.8595,0.048,0.0785,0.2119
3.7694,0.0117,0,0.0212,0.0249,0.3758,0.1063,0.0029,2.8928,0.0479,0.0742,0.2117
3.7519,0.0117,0,0.0212,0.0249,0.3761,0.1062,0.0031,2.8761,0.0477,0.0734,0.2115
3.7249,0.012,0,0.0215,0.025,0.3686,0.1064,0.0034,2.857,0.0479,0.0717,0.2114
3.7256,0.0124,0,0.0211,0.0249,0.3654,0.1062,0.004,2.8596,0.0481,0.0726,0.2113
3.7418,0.0116,0,0.0215,0.0248,0.366,0.1064,0.0032,2.8722,0.0478,0.0772,0.2111
3.7562,0.0121,0,0.0211,0.0249,0.3646,0.1063,0.0031,2.8893,0.048,0.0755,0.2113
3.7488,0.0113,0,0.0215,0.0248,0.3665,0.1064,0.0017,2.884,0.0479,0.0731,0.2116
3.7702,0.012,0,0.0213,0.0248,0.3715,0.1065,0.0029,2.9007,0.048,0.0708,0.2117
3.7524,0.0119,0,0.0213,0.0247,0.3737,0.1064,0.0035,2.8803,0.0477,0.0711,0.2118
3.7423,0.0115,0,0.0214,0.0249,0.367,0.1064,0.0042,2.8742,0.0478,0.0732,0.2117
3.9192,0.013,0,0.0213,0.0249,0.3725,0.1067,0.0053,2.9041,0.0474,0.2124,0.2116
4.1785,0.0144,0,0.0213,0.0249,0.3665,0.1067,0.0068,2.8753,0.0468,0.5035,0.2123
