fecha,Corriente_linea1,Factor_Potencia,Potencia_aparente_total,dispositivo
23/09/2024 10:01,0.052437861,1.509127021,0.006164732,1
23/09/2024 10:01,0.049511138,1.509127021,0.006164732,1
23/09/2024 10:01,0.050047912,1.527879953,0.006237592,1
23/09/2024 10:01,0.049826656,1.521506071,0.006217866,1
23/09/2024 10:01,0.051967159,1.521165013,0.006487374,1
23/09/2024 10:01,0.054159813,1.518815041,0.006755677,1
23/09/2024 10:01,0.054159813,1.530333042,0.006617832,1
23/09/2024 10:01,0.053088356,1.530333042,0.006617832,1
23/09/2024 10:01,0.053842071,1.52166605,0.006707083,1
23/09/2024 10:01,0.060670927,1.521968007,0.007570302,1
23/09/2024 10:01,0.060597531,1.517302036,0.007563792,1
23/09/2024 10:01,0.060597531,1.498160005,0.007528752,1
23/09/2024 10:01,0.060403839,1.498160005,0.007528752,1
23/09/2024 10:01,0.057797424,1.500838995,0.007206712,1
23/09/2024 10:01,0.060433596,1.497081995,0.007546418,1
23/09/2024 10:01,0.055639107,1.49713397,0.006947016,1
23/09/2024 10:01,0.054837469,1.498472929,0.006833806,1
23/09/2024 10:01,0.054837469,1.504693985,0.00707014,1
23/09/2024 10:01,0.056633618,1.504693985,0.00707014,1
23/09/2024 10:01,0.057138398,1.511731982,0.007140279,1
23/09/2024 10:01,0.055347264,1.499181032,0.006908881,1
23/09/2024 10:01,0.054586355,1.495049953,0.006802368,1
23/09/2024 10:01,0.054586355,1.504685998,0.006691809,1
23/09/2024 10:01,0.053594548,1.504685998,0.006691809,1
23/09/2024 10:01,0.05410235,1.516449928,0.006755911,1
23/09/2024 10:01,0.051178504,1.504009962,0.006385372,1
23/09/2024 10:01,0.050014216,1.52028501,0.006242109,1
23/09/2024 10:01,0.050014216,1.502820015,0.006850706,1
23/09/2024 10:01,0.0549265,1.502820015,0.006850706,1
23/09/2024 10:01,0.053566135,1.502701044,0.006677045,1
23/09/2024 10:01,0.051590547,1.513700008,0.006439758,1
23/09/2024 10:01,0.051614698,1.508583069,0.006444073,1
23/09/2024 10:01,0.052510079,1.493927002,0.006550752,1
