fecha,Corriente_linea1,dispositivo
2024-09-25_10-00-1,0.3216184079647064,refrigerador
2024-09-25_10-00-2,0.3209521472454071,refrigerador
2024-09-25_10-00-3,0.3188715577125549,refrigerador
2024-09-25_10-00-3,0.3188715577125549,refrigerador
2024-09-25_10-00-4,0.3206542432308197,refrigerador
2024-09-25_10-00-5,0.3185617327690124,refrigerador
2024-09-25_10-00-6,0.3185016810894012,refrigerador
2024-09-25_10-00-7,0.3199944794178009,refrigerador
2024-09-25_10-00-8,0.3199944794178009,refrigerador
2024-09-25_10-00-8,0.3197794258594513,refrigerador
2024-09-25_10-00-9,0.3211255371570587,refrigerador
2024-09-25_10-00-10,0.3224144876003265,refrigerador
2024-09-25_10-00-11,0.321806788444519,refrigerador
2024-09-25_10-00-12,0.321806788444519,refrigerador
2024-09-25_10-00-12,0.3210344314575195,refrigerador
2024-09-25_10-00-13,0.3211619257926941,refrigerador
2024-09-25_10-00-14,0.3196921348571777,refrigerador
2024-09-25_10-00-15,0.3160876929759979,refrigerador
2024-09-25_10-00-16,0.3173584043979645,refrigerador
2024-09-25_10-00-16,0.3173584043979645,refrigerador
2024-09-25_10-00-17,0.3180657625198364,refrigerador
2024-09-25_10-00-18,0.3191892206668854,refrigerador
2024-09-25_10-00-19,0.3209426403045654,refrigerador
2024-09-25_10-00-20,0.3202239573001861,refrigerador
2024-09-25_10-00-21,0.3202239573001861,refrigerador
2024-09-25_10-00-21,0.3193921744823456,refrigerador
2024-09-25_10-00-22,0.3192844092845917,refrigerador
2024-09-25_10-00-23,0.3193977177143097,refrigerador
2024-09-25_10-00-24,0.3191614151000976,refrigerador
2024-09-25_10-00-25,0.3191614151000976,refrigerador
2024-09-25_10-00-25,0.3200890719890594,refrigerador
2024-09-25_10-00-26,0.3200681805610657,refrigerador
2024-09-25_10-00-27,0.3210999667644501,refrigerador
2024-09-25_10-00-28,0.3206080198287964,refrigerador
2024-09-25_10-00-29,0.3204622268676758,refrigerador
2024-09-25_10-00-29,0.3204622268676758,refrigerador
2024-09-25_10-00-30,0.3215786516666412,refrigerador
2024-09-25_10-00-31,0.3222750127315521,refrigerador
2024-09-25_10-00-32,0.3213095963001251,refrigerador
2024-09-25_10-00-33,0.3222239315509796,refrigerador
2024-09-25_10-00-34,0.3222239315509796,refrigerador
2024-09-25_10-00-34,0.3224076926708221,refrigerador
2024-09-25_10-00-35,0.3215937316417694,refrigerador
2024-09-25_10-00-36,0.3205195367336273,refrigerador
2024-09-25_10-00-37,0.3181647658348083,refrigerador
2024-09-25_10-00-38,0.3181647658348083,refrigerador
2024-09-25_10-00-38,0.3201227486133575,refrigerador
2024-09-25_10-00-39,0.3200021684169769,refrigerador
2024-09-25_10-00-40,0.3184161186218261,refrigerador
2024-09-25_10-00-41,0.3168498575687408,refrigerador
2024-09-25_10-00-42,0.3203102350234985,refrigerador
2024-09-25_10-00-42,0.3203102350234985,refrigerador
2024-09-25_10-00-43,0.3203106522560119,refrigerador
2024-09-25_10-00-44,0.3182818293571472,refrigerador
2024-09-25_10-00-45,0.3185912072658539,refrigerador
2024-09-25_10-00-46,0.3170452415943146,refrigerador
2024-09-25_10-00-47,0.3170452415943146,refrigerador
2024-09-25_10-00-47,0.3139630854129791,refrigerador
2024-09-25_10-00-48,0.316870242357254,refrigerador
2024-09-25_10-00-49,0.3159525096416473,refrigerador
2024-09-25_10-00-50,0.3179926872253418,refrigerador
2024-09-25_10-00-51,0.3198963701725006,refrigerador
2024-09-25_10-00-51,0.3198963701725006,refrigerador
2024-09-25_10-00-52,0.3199506103992462,refrigerador
2024-09-25_10-00-53,0.3195591568946838,refrigerador
2024-09-25_10-00-54,0.3155228793621063,refrigerador
2024-09-25_10-00-55,0.3150464594364166,refrigerador
2024-09-25_10-00-55,0.3150464594364166,refrigerador
2024-09-25_10-00-56,0.3169329166412353,refrigerador
2024-09-25_10-00-57,0.3139714002609253,refrigerador
2024-09-25_10-00-58,0.3130761682987213,refrigerador
2024-09-25_10-00-59,0.3135603964328766,refrigerador
2024-09-25_10-01-0,0.3135603964328766,refrigerador
2024-09-25_10-01-0,0.3138079345226288,refrigerador
2024-09-25_10-01-1,0.3169846832752228,refrigerador
2024-09-25_10-01-2,0.3182935714721679,refrigerador
2024-09-25_10-01-3,0.3195843696594238,refrigerador
2024-09-25_10-01-4,0.3184910416603088,refrigerador
2024-09-25_10-01-4,0.3184910416603088,refrigerador
2024-09-25_10-01-5,0.3150649666786194,refrigerador
2024-09-25_10-01-6,0.3146246969699859,refrigerador
2024-09-25_10-01-7,0.3135971426963806,refrigerador
2024-09-25_10-01-8,0.3131300806999206,refrigerador
2024-09-25_10-01-9,0.3131300806999206,refrigerador
2024-09-25_10-01-9,0.3162939548492431,refrigerador
2024-09-25_10-01-10,0.3195404708385467,refrigerador
2024-09-25_10-01-11,0.3205814957618713,refrigerador
2024-09-25_10-01-12,0.3222024440765381,refrigerador
2024-09-25_10-01-13,0.3222024440765381,refrigerador
2024-09-25_10-01-13,0.3186209499835968,refrigerador
2024-09-25_10-01-14,0.316315084695816,refrigerador
2024-09-25_10-01-15,0.3165004253387451,refrigerador
2024-09-25_10-01-16,0.3201242685317993,refrigerador
2024-09-25_10-01-17,0.3209095001220703,refrigerador
2024-09-25_10-01-17,0.3209095001220703,refrigerador
2024-09-25_10-01-18,0.3208613395690918,refrigerador
2024-09-25_10-01-19,0.3209655880928039,refrigerador
2024-09-25_10-01-20,0.319193035364151,refrigerador
2024-09-25_10-01-21,0.3149740099906921,refrigerador
2024-09-25_10-01-22,0.3149740099906921,refrigerador
2024-09-25_10-01-22,0.3127243220806122,refrigerador
2024-09-25_10-01-23,0.3138740062713623,refrigerador
2024-09-25_10-01-24,0.3141944706439972,refrigerador
2024-09-25_10-01-25,0.3141840696334839,refrigerador
2024-09-25_10-01-26,0.3145965933799743,refrigerador
2024-09-25_10-01-26,0.3145965933799743,refrigerador
2024-09-25_10-01-27,0.314650148153305,refrigerador
2024-09-25_10-01-28,0.3152898550033569,refrigerador
2024-09-25_10-01-29,0.3157601356506347,refrigerador
2024-09-25_10-01-30,0.3148148953914642,refrigerador
2024-09-25_10-01-30,0.3148148953914642,refrigerador
2024-09-25_10-01-31,0.3157419264316559,refrigerador
2024-09-25_10-01-32,0.3163484632968902,refrigerador
2024-09-25_10-01-33,0.3147336542606354,refrigerador
2024-09-25_10-01-34,0.3132900297641754,refrigerador
2024-09-25_10-01-35,0.3132900297641754,refrigerador
2024-09-25_10-01-35,0.317164272069931,refrigerador
2024-09-25_10-01-36,0.3194391429424286,refrigerador
2024-09-25_10-01-37,0.3211270868778229,refrigerador
2024-09-25_10-01-38,0.3215520083904266,refrigerador
2024-09-25_10-01-39,0.3236478567123413,refrigerador
2024-09-25_10-01-39,0.3236478567123413,refrigerador
2024-09-25_10-01-40,0.3213150799274444,refrigerador
2024-09-25_10-01-41,0.3234401643276214,refrigerador
2024-09-25_10-01-42,0.3222070038318634,refrigerador
2024-09-25_10-01-43,0.3212486505508423,refrigerador
2024-09-25_10-01-44,0.3212486505508423,refrigerador
2024-09-25_10-01-44,0.3162415325641632,refrigerador
2024-09-25_10-01-45,0.3153693377971649,refrigerador
2024-09-25_10-01-46,0.3173526227474212,refrigerador
2024-09-25_10-01-47,0.3174674808979034,refrigerador
2024-09-25_10-01-48,0.3136776387691498,refrigerador
2024-09-25_10-01-48,0.3136776387691498,refrigerador
2024-09-25_10-01-49,0.3150062561035156,refrigerador
2024-09-25_10-01-50,0.3184785842895508,refrigerador
2024-09-25_10-01-51,0.3209754526615143,refrigerador
2024-09-25_10-01-52,0.3208769559860229,refrigerador
2024-09-25_10-01-53,0.3208769559860229,refrigerador
2024-09-25_10-01-53,0.3148841261863708,refrigerador
2024-09-25_10-01-54,0.3163330256938934,refrigerador
2024-09-25_10-01-55,0.3207293450832367,refrigerador
2024-09-25_10-01-56,0.3211566805839538,refrigerador
2024-09-25_10-01-57,0.3202534019947052,refrigerador
2024-09-25_10-01-57,0.3202534019947052,refrigerador
2024-09-25_10-01-58,0.3147550821304321,refrigerador
2024-09-25_10-01-59,0.3175451755523681,refrigerador
2024-09-25_10-02-0,0.3129740953445434,refrigerador
2024-09-25_10-02-1,0.3157176673412323,refrigerador
2024-09-25_10-02-1,0.3157176673412323,refrigerador
2024-09-25_10-02-2,0.3147801756858825,refrigerador
2024-09-25_10-02-3,0.3140835165977478,refrigerador
2024-09-25_10-02-4,0.3180036544799804,refrigerador
2024-09-25_10-02-5,0.320025235414505,refrigerador
2024-09-25_10-02-6,0.320025235414505,refrigerador
2024-09-25_10-02-6,0.3200161457061767,refrigerador
2024-09-25_10-02-7,0.3188954889774322,refrigerador
2024-09-25_10-02-8,0.315449059009552,refrigerador
2024-09-25_10-02-9,0.0566061027348041,refrigerador
2024-09-25_10-02-10,0.056146752089262,refrigerador
2024-09-25_10-02-10,0.056146752089262,refrigerador
2024-09-25_10-02-11,0.0579708255827426,refrigerador
2024-09-25_10-02-12,0.0594099983572959,refrigerador
2024-09-25_10-02-13,0.0588731579482555,refrigerador
2024-09-25_10-02-14,0.0580007657408714,refrigerador
2024-09-25_10-02-15,0.0580007657408714,refrigerador
2024-09-25_10-02-15,0.0580492578446865,refrigerador
2024-09-25_10-02-16,0.0574692599475383,refrigerador
2024-09-25_10-02-17,3.012810230255127,refrigerador
2024-09-25_10-02-18,3.353734970092773,refrigerador
2024-09-25_10-02-19,3.344874143600464,refrigerador
2024-09-25_10-02-19,3.344874143600464,refrigerador
2024-09-25_10-02-20,3.333282709121704,refrigerador
2024-09-25_10-02-21,3.326267719268799,refrigerador
2024-09-25_10-02-22,3.316845417022705,refrigerador
2024-09-25_10-02-23,3.309464693069458,refrigerador
2024-09-25_10-02-24,3.309464693069458,refrigerador
2024-09-25_10-02-24,3.3022193908691406,refrigerador
2024-09-25_10-02-25,3.293248653411865,refrigerador
2024-09-25_10-02-26,3.2837908267974854,refrigerador
2024-09-25_10-02-27,3.278784990310669,refrigerador
2024-09-25_10-02-28,3.270847797393799,refrigerador
2024-09-25_10-02-28,3.270847797393799,refrigerador
2024-09-25_10-02-29,3.265267133712769,refrigerador
2024-09-25_10-02-30,3.258903980255127,refrigerador
2024-09-25_10-02-31,3.2503139972686768,refrigerador
2024-09-25_10-02-32,3.245333194732666,refrigerador
2024-09-25_10-02-32,3.245333194732666,refrigerador
2024-09-25_10-02-33,3.239171266555786,refrigerador
2024-09-25_10-02-34,3.2313973903656006,refrigerador
2024-09-25_10-02-35,3.228100299835205,refrigerador
2024-09-25_10-02-36,3.2243916988372803,refrigerador
2024-09-25_10-02-37,3.2243916988372803,refrigerador
2024-09-25_10-02-37,3.219738006591797,refrigerador
2024-09-25_10-02-38,3.215444564819336,refrigerador
2024-09-25_10-02-39,3.2113733291625977,refrigerador
2024-09-25_10-02-40,3.203109741210937,refrigerador
2024-09-25_10-02-41,3.197312831878662,refrigerador
2024-09-25_10-02-41,3.197312831878662,refrigerador
2024-09-25_10-02-42,3.1906745433807373,refrigerador
2024-09-25_10-02-43,3.189157724380493,refrigerador
2024-09-25_10-02-44,3.183608055114746,refrigerador
2024-09-25_10-02-45,3.1785924434661865,refrigerador
2024-09-25_10-02-45,3.1785924434661865,refrigerador
2024-09-25_10-02-46,3.174896240234375,refrigerador
2024-09-25_10-02-47,2.029869079589844,refrigerador
2024-09-25_10-02-48,0.0561372451484203,refrigerador
2024-09-25_10-02-49,0.0574484691023826,refrigerador
2024-09-25_10-02-50,0.0574484691023826,refrigerador
2024-09-25_10-02-50,0.0566086508333683,refrigerador
2024-09-25_10-02-51,0.0567839182913303,refrigerador
2024-09-25_10-02-52,0.0579526424407959,refrigerador
2024-09-25_10-02-53,0.0579927526414394,refrigerador
2024-09-25_10-02-54,0.0570396184921264,refrigerador
2024-09-25_10-02-54,0.0570396184921264,refrigerador
2024-09-25_10-02-55,0.0530238002538681,refrigerador
2024-09-25_10-02-56,0.0488128326833248,refrigerador
2024-09-25_10-02-57,0.0501250587403774,refrigerador
2024-09-25_10-02-58,0.0498420186340808,refrigerador
2024-09-25_10-02-58,0.0498420186340808,refrigerador
2024-09-25_10-02-59,0.0503674820065498,refrigerador
2024-09-25_10-03-0,0.0505454950034618,refrigerador
2024-09-25_10-03-1,0.0499482043087482,refrigerador
2024-09-25_10-03-2,0.0532072633504867,refrigerador
2024-09-25_10-03-3,0.0532072633504867,refrigerador
2024-09-25_10-03-3,0.0514260530471801,refrigerador
2024-09-25_10-03-4,0.0506130866706371,refrigerador
2024-09-25_10-03-5,0.0485978312790393,refrigerador
2024-09-25_10-03-6,0.0484598502516746,refrigerador
2024-09-25_10-03-7,0.0484598502516746,refrigerador
2024-09-25_10-03-7,0.0545564517378807,refrigerador
2024-09-25_10-03-8,0.057535383850336,refrigerador
2024-09-25_10-03-9,0.0565935783088207,refrigerador
2024-09-25_10-03-10,0.0528924018144607,refrigerador
2024-09-25_10-03-11,0.052488338202238,refrigerador
2024-09-25_10-03-11,0.052488338202238,refrigerador
2024-09-25_10-03-12,0.0519942641258239,refrigerador
2024-09-25_10-03-13,0.0586015805602073,refrigerador
2024-09-25_10-03-14,0.0574904680252075,refrigerador
2024-09-25_10-03-15,0.0544108189642429,refrigerador
2024-09-25_10-03-16,0.0544108189642429,refrigerador
2024-09-25_10-03-16,0.0535613372921943,refrigerador
2024-09-25_10-03-17,0.0553636401891708,refrigerador
2024-09-25_10-03-18,0.0572551935911178,refrigerador
2024-09-25_10-03-19,0.0563414245843887,refrigerador
2024-09-25_10-03-20,0.0546896941959857,refrigerador
2024-09-25_10-03-20,0.0546896941959857,refrigerador
2024-09-25_10-03-21,0.0543408654630184,refrigerador
2024-09-25_10-03-22,0.0573588199913501,refrigerador
2024-09-25_10-03-23,0.0532203949987888,refrigerador
2024-09-25_10-03-24,0.0535995997488498,refrigerador
2024-09-25_10-03-25,0.0535995997488498,refrigerador
2024-09-25_10-03-25,0.057039339095354,refrigerador
2024-09-25_10-03-26,0.0568331778049469,refrigerador
2024-09-25_10-03-27,0.0541543327271938,refrigerador
2024-09-25_10-03-28,0.0520279146730899,refrigerador
2024-09-25_10-03-29,0.0520279146730899,refrigerador
2024-09-25_10-03-29,0.0533549971878528,refrigerador
2024-09-25_10-03-30,0.0542295277118682,refrigerador
2024-09-25_10-03-31,0.0522217974066734,refrigerador
2024-09-25_10-03-32,0.049015112221241,refrigerador
2024-09-25_10-03-33,0.0500849187374115,refrigerador
2024-09-25_10-03-33,0.0500849187374115,refrigerador
2024-09-25_10-03-34,0.0499891825020313,refrigerador
2024-09-25_10-03-35,0.0503758080303669,refrigerador
2024-09-25_10-03-36,0.0494454689323902,refrigerador
2024-09-25_10-03-37,0.048481211066246,refrigerador
2024-09-25_10-03-38,0.048481211066246,refrigerador
2024-09-25_10-03-38,0.0506654717028141,refrigerador
2024-09-25_10-03-39,0.054080881178379,refrigerador
2024-09-25_10-03-40,0.0542145036160945,refrigerador
2024-09-25_10-03-41,0.0514209307730197,refrigerador
2024-09-25_10-03-42,0.055682472884655,refrigerador
2024-09-25_10-03-42,0.055682472884655,refrigerador
2024-09-25_10-03-43,0.0587087608873844,refrigerador
2024-09-25_10-03-44,0.0564759112894535,refrigerador
2024-09-25_10-03-45,0.0561598986387252,refrigerador
2024-09-25_10-03-46,0.0580788366496562,refrigerador
2024-09-25_10-03-47,0.0580788366496562,refrigerador
2024-09-25_10-03-47,0.0579403489828109,refrigerador
2024-09-25_10-03-48,0.0527091100811958,refrigerador
2024-09-25_10-03-49,0.0501581393182277,refrigerador
2024-09-25_10-03-50,0.0519628897309303,refrigerador
2024-09-25_10-03-51,0.0519628897309303,refrigerador
2024-09-25_10-03-51,0.052081499248743,refrigerador
2024-09-25_10-03-52,0.0543640553951263,refrigerador
2024-09-25_10-03-53,0.0500595569610595,refrigerador
2024-09-25_10-03-54,0.0522429831326007,refrigerador
2024-09-25_10-03-55,0.0575073100626468,refrigerador
2024-09-25_10-03-55,0.0575073100626468,refrigerador
2024-09-25_10-03-56,0.055569052696228,refrigerador
2024-09-25_10-03-57,0.0546469688415527,refrigerador
2024-09-25_10-03-58,0.059609081596136,refrigerador
2024-09-25_10-03-59,0.0588474087417125,refrigerador
2024-09-25_10-04-0,0.0588474087417125,refrigerador
2024-09-25_10-04-0,0.0586033724248409,refrigerador
2024-09-25_10-04-1,0.0592133812606334,refrigerador
2024-09-25_10-04-2,0.0584901198744773,refrigerador
2024-09-25_10-04-3,0.057953767478466,refrigerador
2024-09-25_10-04-4,0.0571078732609748,refrigerador
2024-09-25_10-04-4,0.0571078732609748,refrigerador
2024-09-25_10-04-5,0.0565145052969455,refrigerador
2024-09-25_10-04-6,0.0550957061350345,refrigerador
2024-09-25_10-04-7,0.055698025971651,refrigerador
2024-09-25_10-04-8,0.0560942068696022,refrigerador
2024-09-25_10-04-9,0.0560942068696022,refrigerador
2024-09-25_10-04-9,0.0578148774802684,refrigerador
2024-09-25_10-04-10,0.0575530119240284,refrigerador
2024-09-25_10-04-11,0.054286491125822,refrigerador
2024-09-25_10-04-12,0.0505562871694564,refrigerador
2024-09-25_10-04-13,0.0505562871694564,refrigerador
2024-09-25_10-04-13,0.0494520924985408,refrigerador
2024-09-25_10-04-14,0.0518306195735931,refrigerador
2024-09-25_10-04-15,0.0540609024465084,refrigerador
2024-09-25_10-04-16,0.0551232546567916,refrigerador
2024-09-25_10-04-17,0.0585817992687225,refrigerador
2024-09-25_10-04-17,0.0585817992687225,refrigerador
2024-09-25_10-04-18,0.0571427978575229,refrigerador
2024-09-25_10-04-19,0.0562925674021244,refrigerador
2024-09-25_10-04-20,0.0562059730291366,refrigerador
2024-09-25_10-04-21,0.0486218892037868,refrigerador
2024-09-25_10-04-21,0.0486218892037868,refrigerador
2024-09-25_10-04-22,0.0493320934474468,refrigerador
2024-09-25_10-04-23,0.0506996065378189,refrigerador
2024-09-25_10-04-24,0.0506400316953659,refrigerador
2024-09-25_10-04-25,0.0544097684323787,refrigerador
2024-09-25_10-04-26,0.0544097684323787,refrigerador
2024-09-25_10-04-26,0.0508005768060684,refrigerador
2024-09-25_10-04-27,0.0493234768509864,refrigerador
2024-09-25_10-04-28,0.0523037053644657,refrigerador
2024-09-25_10-04-29,0.0523523911833763,refrigerador
2024-09-25_10-04-30,0.0551469437777996,refrigerador
2024-09-25_10-04-30,0.0551469437777996,refrigerador
2024-09-25_10-04-31,0.0539813637733459,refrigerador
2024-09-25_10-04-32,0.0547183416783809,refrigerador
2024-09-25_10-04-33,0.0564285330474376,refrigerador
2024-09-25_10-04-34,0.0512038767337799,refrigerador
2024-09-25_10-04-35,0.0512038767337799,refrigerador
2024-09-25_10-04-35,0.0560521110892295,refrigerador
2024-09-25_10-04-36,0.0528627894818782,refrigerador
2024-09-25_10-04-37,0.0530137345194816,refrigerador
2024-09-25_10-04-38,0.0538623668253421,refrigerador
2024-09-25_10-04-39,0.0538623668253421,refrigerador
2024-09-25_10-04-39,0.053690742701292,refrigerador
2024-09-25_10-04-40,0.0582288801670074,refrigerador
2024-09-25_10-04-41,0.0576158501207828,refrigerador
2024-09-25_10-04-42,0.057708628475666,refrigerador
2024-09-25_10-04-43,0.0575575903058052,refrigerador
2024-09-25_10-04-43,0.0575575903058052,refrigerador
2024-09-25_10-04-44,0.0575452372431755,refrigerador
2024-09-25_10-04-45,0.0560786314308643,refrigerador
2024-09-25_10-04-46,0.056557472795248,refrigerador
2024-09-25_10-04-47,0.051258385181427,refrigerador
2024-09-25_10-04-48,0.051258385181427,refrigerador
2024-09-25_10-04-48,0.0490011759102344,refrigerador
2024-09-25_10-04-49,0.0499588623642921,refrigerador
2024-09-25_10-04-50,0.0518850237131118,refrigerador
2024-09-25_10-04-51,0.0508331693708896,refrigerador
2024-09-25_10-04-52,0.0508331693708896,refrigerador
2024-09-25_10-04-52,0.0503880530595779,refrigerador
2024-09-25_10-04-53,0.0507316887378692,refrigerador
2024-09-25_10-04-54,0.05040268227458,refrigerador
2024-09-25_10-04-55,0.0486956648528575,refrigerador
2024-09-25_10-04-56,0.0495687201619148,refrigerador
2024-09-25_10-04-56,0.0495687201619148,refrigerador
2024-09-25_10-04-57,0.0493094958364963,refrigerador
2024-09-25_10-04-58,0.0495158582925796,refrigerador
2024-09-25_10-04-59,0.0496346950531005,refrigerador
2024-09-25_10-05-0,0.0477804243564605,refrigerador
2024-09-25_10-05-1,0.0477804243564605,refrigerador
2024-09-25_10-05-1,0.0529255159199237,refrigerador
2024-09-25_10-05-2,0.0579555034637451,refrigerador
2024-09-25_10-05-3,0.0536104068160057,refrigerador
2024-09-25_10-05-4,0.0556608587503433,refrigerador
2024-09-25_10-05-5,0.0584073401987552,refrigerador
2024-09-25_10-05-5,0.0584073401987552,refrigerador
2024-09-25_10-05-6,0.0537726134061813,refrigerador
2024-09-25_10-05-7,0.0569458752870559,refrigerador
2024-09-25_10-05-8,0.054817546159029,refrigerador
2024-09-25_10-05-9,0.0548099875450134,refrigerador
2024-09-25_10-05-10,0.0548099875450134,refrigerador
2024-09-25_10-05-10,0.0592115074396133,refrigerador
2024-09-25_10-05-11,0.060543242841959,refrigerador
2024-09-25_10-05-12,0.0602658465504646,refrigerador
2024-09-25_10-05-13,0.0605193078517913,refrigerador
2024-09-25_10-05-14,0.0591664090752601,refrigerador
2024-09-25_10-05-14,0.0591664090752601,refrigerador
2024-09-25_10-05-15,0.0597275085747242,refrigerador
2024-09-25_10-05-16,0.0590627081692218,refrigerador
2024-09-25_10-05-17,0.0578004345297813,refrigerador
2024-09-25_10-05-18,0.0557746924459934,refrigerador
2024-09-25_10-05-19,0.0557746924459934,refrigerador
2024-09-25_10-05-19,0.0579128041863441,refrigerador
2024-09-25_10-05-20,0.0577899999916553,refrigerador
2024-09-25_10-05-21,0.0583845749497413,refrigerador
2024-09-25_10-05-22,0.0542870201170444,refrigerador
2024-09-25_10-05-23,0.0542870201170444,refrigerador
2024-09-25_10-05-23,0.0564872696995735,refrigerador
2024-09-25_10-05-24,0.0560785494744777,refrigerador
2024-09-25_10-05-25,0.0584235526621341,refrigerador
2024-09-25_10-05-26,0.0571381449699401,refrigerador
2024-09-25_10-05-27,0.0571977645158767,refrigerador
2024-09-25_10-05-27,0.0571977645158767,refrigerador
2024-09-25_10-05-28,0.057598166167736,refrigerador
2024-09-25_10-05-29,0.0573495328426361,refrigerador
2024-09-25_10-05-30,0.0549548789858818,refrigerador
2024-09-25_10-05-31,0.0561530105769634,refrigerador
2024-09-25_10-05-32,0.0561530105769634,refrigerador
2024-09-25_10-05-32,0.0580968037247657,refrigerador
2024-09-25_10-05-33,0.0592974722385406,refrigerador
2024-09-25_10-05-34,0.0574864596128463,refrigerador
2024-09-25_10-05-35,0.0533409230411052,refrigerador
2024-09-25_10-05-36,0.0561611130833625,refrigerador
2024-09-25_10-05-36,0.0561611130833625,refrigerador
2024-09-25_10-05-37,0.0569200292229652,refrigerador
2024-09-25_10-05-38,0.0579399205744266,refrigerador
2024-09-25_10-05-39,0.0575303360819816,refrigerador
2024-09-25_10-05-40,0.0581751279532909,refrigerador
2024-09-25_10-05-40,0.0581751279532909,refrigerador
2024-09-25_10-05-41,0.0572681352496147,refrigerador
2024-09-25_10-05-42,0.0576952919363975,refrigerador
2024-09-25_10-05-43,0.0579520538449287,refrigerador
2024-09-25_10-05-44,0.0573325045406818,refrigerador
2024-09-25_10-05-45,0.0573325045406818,refrigerador
2024-09-25_10-05-45,0.0567787401378154,refrigerador
2024-09-25_10-05-46,0.0531338788568973,refrigerador
2024-09-25_10-05-47,0.0544014610350132,refrigerador
2024-09-25_10-05-48,0.0571424141526222,refrigerador
2024-09-25_10-05-49,0.0583464689552784,refrigerador
2024-09-25_10-05-49,0.0583464689552784,refrigerador
2024-09-25_10-05-50,0.0555008016526699,refrigerador
2024-09-25_10-05-51,0.058383010327816,refrigerador
2024-09-25_10-05-52,0.0604260563850402,refrigerador
2024-09-25_10-05-53,0.058537159115076,refrigerador
2024-09-25_10-05-53,0.058537159115076,refrigerador
