fecha,Corriente_linea1,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-09-25_15-00-4,0.9379446506500244,0.937626576423645,0.0003740073735067,0.9380150437355042,0.9372377395629884,refrigerador
2024-09-25_15-00-5,0.9369322061538696,0.937473475933075,0.0004794313154051,0.9380150437355042,0.9369322061538696,refrigerador
2024-09-25_15-00-5,0.9393218755722046,0.9378903031349182,0.0009235397329751,0.9393218755722046,0.9369322061538696,refrigerador
2024-09-25_15-00-6,0.9393218755722046,0.9383071303367616,0.0010206050166863,0.9393218755722046,0.9369322061538696,refrigerador
2024-09-25_15-00-7,0.9374066591262816,0.938185453414917,0.0010975023749476,0.9393218755722046,0.9369322061538696,refrigerador
2024-09-25_15-00-8,0.935904860496521,0.9377774953842164,0.0015107130076435,0.9393218755722046,0.935904860496521,refrigerador
2024-09-25_15-00-9,0.9349710941314696,0.9373852729797364,0.001969847532263,0.9393218755722046,0.9349710941314696,refrigerador
2024-09-25_15-00-9,0.9339699149131776,0.9363148808479308,0.0021039689722015,0.9393218755722046,0.9339699149131776,refrigerador
2024-09-25_15-00-10,0.93552166223526,0.935554838180542,0.0012654639424304,0.9374066591262816,0.9339699149131776,refrigerador
2024-09-25_15-00-11,0.93552166223526,0.9351778388023376,0.0007527969730942,0.935904860496521,0.9339699149131776,refrigerador
2024-09-25_15-00-12,0.9366410374641418,0.935325074195862,0.0009709288858306,0.9366410374641418,0.9339699149131776,refrigerador
2024-09-25_15-00-13,0.9351819753646852,0.9353672504425048,0.000956176345654,0.9366410374641418,0.9339699149131776,refrigerador
2024-09-25_15-00-14,0.9348265528678894,0.9355385780334472,0.0006800982253575,0.9366410374641418,0.9348265528678894,refrigerador
2024-09-25_15-00-14,0.9370227456092834,0.935838794708252,0.00094894037936,0.9370227456092834,0.9348265528678894,refrigerador
2024-09-25_15-00-15,0.9370227456092834,0.9361390113830568,0.0010550435827246,0.9370227456092834,0.9348265528678894,refrigerador
2024-09-25_15-00-16,0.9344747066497804,0.9357057452201843,0.0012279810732925,0.9370227456092834,0.9344747066497804,refrigerador
2024-09-25_15-00-17,0.9349214434623718,0.9356536388397216,0.0012608498202414,0.9370227456092834,0.9344747066497804,refrigerador
2024-09-25_15-00-18,0.9364535808563232,0.9359790444374084,0.0012026388783531,0.9370227456092834,0.9344747066497804,refrigerador
