fecha,Corriente_linea1,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-09-25_13-00-3,0.3215374946594238,0.31973151564598085,0.0019004923242395902,0.3215374946594238,0.3166365623474121,refrigerador
2024-09-25_13-00-4,0.3221819698810577,0.32084059715270996,0.0010866422356295964,0.3221819698810577,0.3197421729564667,ventilador
2024-09-25_13-00-5,0.3205159306526184,0.3209953486919403,0.0009357213554171086,0.3221819698810577,0.3197421729564667,refrigerador
2024-09-25_13-00-6,0.3194807171821594,0.32094305753707886,0.0010261926210502659,0.3221819698810577,0.3194807171821594,ventilador
2024-09-25_13-00-6,0.3194807171821594,0.3206393659114838,0.0012130985402969401,0.3221819698810577,0.3194807171821594,ventilador
2024-09-25_13-00-7,0.3192944228649139,0.32019075155258175,0.0012126824202421686,0.3221819698810577,0.3192944228649139,ventilador
2024-09-25_13-00-8,0.3186714947223663,0.3194886565208435,0.0006634942211500493,0.3205159306526184,0.3186714947223663,refrigerador
2024-09-25_13-00-9,0.3200308680534363,0.31939164400100706,0.00048799138958483017,0.3200308680534363,0.3186714947223663,refrigerador
2024-09-25_13-00-10,0.3209169805049896,0.31967889666557314,0.0008453829513178241,0.3209169805049896,0.3186714947223663,refrigerador
2024-09-25_13-00-10,0.3209169805049896,0.31996614933013917,0.0009924332920645173,0.3209169805049896,0.3186714947223663,refrigerador
2024-09-25_13-00-11,0.3180523514747619,0.31971773505210876,0.0013079136894600266,0.3209169805049896,0.3180523514747619,refrigerador
2024-09-25_13-00-12,0.3206560909748077,0.32011465430259706,0.0012083792274521423,0.3209169805049896,0.3180523514747619,refrigerador
2024-09-25_13-00-13,0.322741150856018,0.32065671086311337,0.0016780240511492322,0.322741150856018,0.3180523514747619,ventilador
2024-09-25_13-00-14,0.3196627199649811,0.3204058587551116,0.0017225491708209681,0.322741150856018,0.3180523514747619,ventilador
2024-09-25_13-00-15,0.3188893496990204,0.3200003325939178,0.001808659691631433,0.322741150856018,0.3180523514747619,ventilador
2024-09-25_13-00-15,0.3188893496990204,0.3201677322387695,0.0016112525304257661,0.322741150856018,0.3188893496990204,ventilador
2024-09-25_13-00-16,0.3185299634933471,0.3197425067424774,0.0017265751838644843,0.322741150856018,0.3185299634933471,ventilador
2024-09-25_13-00-17,0.3171341121196747,0.31862109899520874,0.0009284835448958265,0.3196627199649811,0.3171341121196747,refrigerador
2024-09-25_13-00-18,0.3174085915088653,0.3181702733039856,0.0008392419068725208,0.3188893496990204,0.3171341121196747,ventilador
2024-09-25_13-00-19,0.3193701803684234,0.3182664394378662,0.0009609597270265855,0.3193701803684234,0.3171341121196747,ventilador
2024-09-25_13-00-19,0.3193701803684234,0.3183626055717468,0.001058036106387275,0.3193701803684234,0.3171341121196747,ventilador
2024-09-25_13-00-20,0.3176082670688629,0.3181782662868499,0.0011010080214178403,0.3193701803684234,0.3171341121196747,ventilador
2024-09-25_13-00-21,0.3192552030086517,0.31860248446464534,0.0010023228171329509,0.3193701803684234,0.3174085915088653,ventilador
2024-09-25_13-00-22,0.3168012797832489,0.31848102211952206,0.0012003954064172238,0.3193701803684234,0.3168012797832489,ventilador
2024-09-25_13-00-23,0.3152368664741516,0.3176543593406677,0.001737878249264992,0.3193701803684234,0.3152368664741516,ventilador
2024-09-25_13-00-23,0.3152368664741516,0.31682769656181337,0.0017003129452930576,0.3192552030086517,0.3152368664741516,ventilador
