fecha,valor_corriente,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-08-16_08-00-44,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-46,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-49,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-51,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-53,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-55,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-00-57,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-00,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-02,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-04,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-06,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-08,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-10,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-13,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-15,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-17,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-19,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-21,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-24,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
2024-08-16_08-01-26,5.877471754111439e-39,5.877471754111439e-39,0.0,5.877471754111439e-39,5.877471754111439e-39,licuadora
