fecha,Corriente_linea1,media_corriente,desviacion_corriente,corriente_max,corriente_min,dispositivo_predicho
2024-09-25_15-11-8,0.3199075162410736,0.6258129835128784,0.2852980212489875,0.938508927822113,0.3199075162410736,ventilador
2024-09-25_15-11-9,0.3179937601089477,0.5017099499702453,0.2477629662356166,0.7731086015701294,0.3179937601089477,ventilador
2024-09-25_15-11-9,0.318276971578598,0.4107436239719391,0.2025845606745052,0.7731086015701294,0.3179937601089477,ventilador
2024-09-25_15-11-10,0.318276971578598,0.3197772979736328,0.00270921490803,0.3244312703609466,0.3179937601089477,ventilador
2024-09-25_15-11-11,0.3182129859924316,0.3185336410999298,0.0007767854540773,0.3199075162410736,0.3179937601089477,ventilador
2024-09-25_15-11-12,0.3185296058654785,0.3182580590248108,0.0001912711071305,0.3185296058654785,0.3179937601089477,ventilador
2024-09-25_15-11-13,0.3168540894985199,0.3180301249027252,0.0006685516508584,0.3185296058654785,0.3168540894985199,ventilador
2024-09-25_15-15-57,0.3181223571300506,0.3172525703907012,0.0055620871808373,0.3227211534976959,0.3078508079051971,ventilador
2024-09-25_15-15-58,0.3183977603912353,0.3193619608879089,0.0018985478782412,0.3227211534976959,0.3181223571300506,ventilador
2024-09-25_15-15-59,0.3167708814144134,0.3181719064712524,0.0008316108553872,0.3187842667102813,0.3167708814144134,ventilador
2024-09-25_15-15-59,0.3162814974784851,0.3176713526248931,0.001085379748205,0.3187842667102813,0.3162814974784851,ventilador
2024-09-25_15-16-0,0.3162814974784851,0.3171707987785339,0.0010188897870067,0.3183977603912353,0.3162814974784851,ventilador
2024-09-25_15-16-1,0.3135724365711212,0.316260814666748,0.0017360110492981,0.3183977603912353,0.3135724365711212,ventilador
2024-09-25_15-16-2,0.3090897798538208,0.3143992185592651,0.0032242999385509,0.3167708814144134,0.3090897798538208,ventilador
2024-09-25_15-16-3,0.3069606721401214,0.3124371767044067,0.0042439246961135,0.3162814974784851,0.3069606721401214,ventilador
2024-09-25_15-16-3,0.303954005241394,0.3099716782569885,0.004970804014213,0.3162814974784851,0.303954005241394,ventilador
2024-09-25_15-16-4,0.3066397309303283,0.3080433249473571,0.0035892510408403,0.3135724365711212,0.303954005241394,ventilador
2024-09-25_15-16-5,0.3066397309303283,0.3066567838191986,0.0018246514360901,0.3090897798538208,0.303954005241394,ventilador
2024-09-25_15-16-6,0.3100256621837616,0.3068439602851867,0.0021547684351537,0.3100256621837616,0.303954005241394,ventilador
2024-09-25_15-16-7,0.30682173371315,0.3068161725997924,0.0021537826969464,0.3100256621837616,0.303954005241394,ventilador
2024-09-25_15-16-8,0.2995367348194122,0.3059327185153961,0.003855219722578,0.3100256621837616,0.2995367348194122,ventilador
2024-09-25_15-16-8,0.2920490801334381,0.3030145883560181,0.0072306466942477,0.3100256621837616,0.2920490801334381,ventilador
2024-09-25_15-16-9,0.2920490801334381,0.30009645819664,0.0082712196837612,0.3100256621837616,0.2920490801334381,ventilador
2024-09-25_15-16-10,0.2950924336910248,0.2971098124980926,0.0062350462512278,0.30682173371315,0.2920490801334381,ventilador
2024-09-25_15-16-11,0.2930932641029358,0.2943641185760498,0.0031472320686287,0.2995367348194122,0.2920490801334381,ventilador
2024-09-25_15-16-12,0.2908879518508911,0.2926343619823456,0.0015801713283608,0.2950924336910248,0.2908879518508911,ventilador
2024-09-25_15-16-12,0.2894255518913269,0.2921096563339233,0.002154361447043,0.2950924336910248,0.2894255518913269,ventilador
2024-09-25_15-16-13,0.2894255518913269,0.2915849506855011,0.0024692741885667,0.2950924336910248,0.2894255518913269,ventilador
