fecha,valor,dispositivo
2024-09-25_15-47-0,0.00750641990453,refrigerador.csv
2024-09-25_15-47-0,0.0072874492034316,refrigerador.csv
2024-09-25_15-47-1,0.0072874492034316,refrigerador.csv
2024-09-25_15-47-2,0.0073546762578189,refrigerador.csv
2024-09-25_15-47-3,0.0073048826307058,refrigerador.csv
2024-09-25_15-47-4,0.0072633512318134,refrigerador.csv
2024-09-25_15-47-4,0.0073610311374068,refrigerador.csv
2024-09-25_15-47-5,0.0073610311374068,refrigerador.csv
2024-09-25_15-47-6,0.0072157508693635,refrigerador.csv
2024-09-25_15-47-7,0.0072311307303607,refrigerador.csv
2024-09-25_15-47-8,0.007453235797584,refrigerador.csv
2024-09-25_15-47-9,0.007074162364006,refrigerador.csv
2024-09-25_15-47-9,0.007074162364006,refrigerador.csv
2024-09-25_15-47-10,0.0074188052676618,refrigerador.csv
2024-09-25_15-47-11,0.0072584394365549,refrigerador.csv
2024-09-25_15-47-12,0.0073091671802103,refrigerador.csv
2024-09-25_15-47-13,0.0073034181259572,refrigerador.csv
2024-09-25_15-47-13,0.0072111012414097,refrigerador.csv
2024-09-25_15-47-14,0.0072111012414097,refrigerador.csv
2024-09-25_15-47-15,0.0072965444996953,refrigerador.csv
2024-09-25_15-47-16,0.0072644324973225,refrigerador.csv
2024-09-25_15-47-17,0.0072856489568948,refrigerador.csv
2024-09-25_15-47-17,0.0073129404336214,refrigerador.csv
2024-09-25_15-47-18,0.0073129404336214,refrigerador.csv
2024-09-25_15-47-19,0.0072325351648032,refrigerador.csv
2024-09-25_15-47-20,0.0069753751158714,refrigerador.csv
2024-09-25_15-47-21,0.0068269236944615,refrigerador.csv
2024-09-25_15-47-22,0.0069700614549219,refrigerador.csv
2024-09-25_15-47-22,0.0069700614549219,refrigerador.csv
2024-09-25_15-47-23,0.0072680399753153,refrigerador.csv
2024-09-25_15-47-24,0.0073532233946025,refrigerador.csv
2024-09-25_15-47-25,0.0075096269138157,refrigerador.csv
2024-09-25_15-47-26,0.0074380598962306,refrigerador.csv
2024-09-25_15-47-26,0.0073674875311553,refrigerador.csv
2024-09-25_15-47-27,0.0073674875311553,refrigerador.csv
2024-09-25_15-47-28,0.0073908371850848,refrigerador.csv
2024-09-25_15-47-29,0.0074312095530331,refrigerador.csv
2024-09-25_15-47-30,0.0074489335529506,refrigerador.csv
2024-09-25_15-47-30,0.0072403815574944,refrigerador.csv
2024-09-25_15-47-31,0.0072403815574944,refrigerador.csv
2024-09-25_15-47-32,0.0073566487990319,refrigerador.csv
2024-09-25_15-47-33,0.0069233840331435,refrigerador.csv
2024-09-25_15-47-34,0.0070079872384667,refrigerador.csv
2024-09-25_15-47-35,0.0073619675822556,refrigerador.csv
2024-09-25_15-47-35,0.0073619675822556,refrigerador.csv
2024-09-25_15-47-36,0.0072388886474072,refrigerador.csv
2024-09-25_15-47-37,0.0073311226442456,refrigerador.csv
2024-09-25_15-47-38,0.0073085068725049,refrigerador.csv
2024-09-25_15-47-39,0.0072230575606226,refrigerador.csv
2024-09-25_15-47-39,0.0068286340683698,refrigerador.csv
2024-09-25_15-47-40,0.0068286340683698,refrigerador.csv
2024-09-25_15-47-41,0.0068887965753674,refrigerador.csv
2024-09-25_15-47-42,0.0073607796803116,refrigerador.csv
2024-09-25_15-47-43,0.0061119054444134,refrigerador.csv
2024-09-25_15-47-43,0.0061123971827328,refrigerador.csv
2024-09-25_15-47-44,0.0061123971827328,refrigerador.csv
2024-09-25_15-47-45,0.0062537309713661,refrigerador.csv
2024-09-25_15-47-46,0.0064177517779171,refrigerador.csv
2024-09-25_15-47-47,0.0063477689400315,refrigerador.csv
2024-09-25_15-47-48,0.0065516266040503,refrigerador.csv
2024-09-25_15-47-48,0.0065516266040503,refrigerador.csv
2024-09-25_15-47-49,0.0064291353337466,refrigerador.csv
2024-09-25_15-47-50,0.0072970101609826,refrigerador.csv
2024-09-25_15-47-51,0.0071239592507481,refrigerador.csv
2024-09-25_15-47-52,0.0072898031212389,refrigerador.csv
2024-09-25_15-47-52,0.0075030946172773,refrigerador.csv
2024-09-25_15-47-53,0.0075030946172773,refrigerador.csv
