fecha,Potencia_activa_Total
2024-09-23_10-00-00.7,0.0030361525714397
2024-09-23_10-00-01.5,0.0035635365638881
2024-09-23_10-00-02.3,0.0037783570587635
2024-09-23_10-00-03.1,0.0034871401730924
2024-09-23_10-00-03.9,0.003714986378327
2024-09-23_10-00-04.7,0.0035610625054687
2024-09-23_10-00-05.5,0.0035610625054687
2024-09-23_10-00-06.4,0.0035350795369595
2024-09-23_10-00-07.2,0.003731922712177
2024-09-23_10-00-08,0.0038293451070785
2024-09-23_10-00-08.8,0.0036771041341125
2024-09-23_10-00-09.6,0.0036771041341125
2024-09-23_10-00-10.4,0.0035062301903963
2024-09-23_10-00-11.2,0.0035095529165118
2024-09-23_10-00-12,0.0033363259863108
2024-09-23_10-00-12.9,0.0034176404587924
2024-09-23_10-00-13.7,0.0034176404587924
2024-09-23_10-00-14.5,0.0034932738635689
2024-09-23_10-00-15.3,0.0035821516066789
2024-09-23_10-00-16.1,0.0036695436574518
2024-09-23_10-00-16.9,0.0037314326036721
2024-09-23_10-00-17.7,0.0037314326036721
2024-09-23_10-00-18.5,0.0037908516824245
2024-09-23_10-00-19.4,0.0032450971193611
2024-09-23_10-00-20.2,0.0034106511157006
2024-09-23_10-00-21,0.0030727637931704
2024-09-23_10-00-21.8,9.850263268162962e-06
2024-09-23_10-00-22.6,9.850263268162962e-06
2024-09-23_10-00-23.4,0.002743599936366
2024-09-23_10-00-24.2,0.0034122779034078
2024-09-23_10-00-25,0.0038025302346795
2024-09-23_10-00-25.9,0.0036161472089588
2024-09-23_10-00-26.7,0.0036161472089588
2024-09-23_10-00-27.5,0.0035478130448609
2024-09-23_10-00-28.3,0.0035907756537199
2024-09-23_10-00-29.1,0.003772851312533
2024-09-23_10-00-29.9,0.0039092865772545
2024-09-23_10-00-30.7,0.0039092865772545
2024-09-23_10-00-31.6,0.0037143060471862
2024-09-23_10-00-32.4,0.0037342349532991
2024-09-23_10-00-33.2,0.0036191307008266
2024-09-23_10-00-34,0.0035028778947889
2024-09-23_10-00-34.8,0.0035785671789199
2024-09-23_10-00-35.6,0.0035785671789199
2024-09-23_10-00-36.4,0.0039179204031825
2024-09-23_10-00-37.3,0.0038843750953674
2024-09-23_10-00-38.1,0.0037736222147941
2024-09-23_10-00-38.9,0.0037876814603805
2024-09-23_10-00-39.7,0.0037876814603805
2024-09-23_10-00-40.5,0.0037343590520322
2024-09-23_10-00-41.3,0.0036104568280279
2024-09-23_10-00-42.1,0.0037200623191893
2024-09-23_10-00-43,0.0037156699690967
2024-09-23_10-00-43.8,0.0036724009551107
2024-09-23_10-00-44.6,0.0036724009551107
2024-09-23_10-00-45.4,0.003662506584078
2024-09-23_10-00-46.2,0.0036470359191298
2024-09-23_10-00-47,0.003716632258147
2024-09-23_10-00-47.8,0.0037825622130185
2024-09-23_10-00-48.7,0.0037825622130185
2024-09-23_10-00-49.5,0.0036795667838305
2024-09-23_10-00-50.3,0.0038478232454508
2024-09-23_10-00-51.1,0.0037175994366407
2024-09-23_10-00-51.9,0.0036990921944379
2024-09-23_10-00-52.7,0.0036990921944379
2024-09-23_10-00-53.6,0.003096439410001
2024-09-23_10-00-54.4,8.705615982762538e-06
2024-09-23_10-00-55.2,0.0027003306895494
2024-09-23_10-00-56,0.0029625569004565
2024-09-23_10-00-56.8,0.0036442575510591
2024-09-23_10-00-57.6,0.0036442575510591
2024-09-23_10-00-58.4,0.0037628735881298
2024-09-23_10-00-59.3,0.0034823883324861
2024-09-23_10-01-00.1,0.0029490089509636
2024-09-23_10-01-00.9,0.0027607318479567
2024-09-23_10-01-01.7,0.0027607318479567
2024-09-23_10-01-02.5,0.0032739392481744
2024-09-23_10-01-03.3,0.0026952908374369
2024-09-23_10-01-04.1,0.0025042030028998
2024-09-23_10-01-04.9,0.0025957571342587
2024-09-23_10-01-05.7,0.0025957571342587
2024-09-23_10-01-06.5,0.002587585709989
