fecha,Potencia_aparente_Total
2024-09-23_10-00-00.7,0.0060771722346544
2024-09-23_10-00-01.5,0.0070062042213976
2024-09-23_10-00-02.3,0.0076842084527015
2024-09-23_10-00-03.1,0.0069535938091576
2024-09-23_10-00-03.9,0.0074100894853472
2024-09-23_10-00-04.8,0.0069065443240106
2024-09-23_10-00-05.6,0.0069065443240106
2024-09-23_10-00-06.4,0.0069658416323363
2024-09-23_10-00-07.2,0.0072122286073863
2024-09-23_10-00-08,0.007570578251034
2024-09-23_10-00-08.8,0.0074260272085666
2024-09-23_10-00-09.6,0.0074260272085666
2024-09-23_10-00-10.4,0.0067116268910467
2024-09-23_10-00-11.2,0.0067072813399136
2024-09-23_10-00-12.1,0.0064761377871036
2024-09-23_10-00-12.9,0.0066164666786789
2024-09-23_10-00-13.7,0.0066164666786789
2024-09-23_10-00-14.5,0.0068580070510506
2024-09-23_10-00-15.3,0.0069092502817511
2024-09-23_10-00-16.1,0.0073298667557537
2024-09-23_10-00-16.9,0.0073476154357194
2024-09-23_10-00-17.7,0.0073831933550536
2024-09-23_10-00-18.6,0.0073831933550536
2024-09-23_10-00-19.4,0.0062597468495368
2024-09-23_10-00-20.2,0.0066018966026604
2024-09-23_10-00-21,0.0061789937317371
2024-09-23_10-00-21.8,9.850263268162962e-06
2024-09-23_10-00-22.6,9.850263268162962e-06
2024-09-23_10-00-23.4,0.0057529639452695
2024-09-23_10-00-24.2,0.0066286581568419
2024-09-23_10-00-25.1,0.0074969246052205
2024-09-23_10-00-25.9,0.0071759959682822
2024-09-23_10-00-26.7,0.0071759959682822
2024-09-23_10-00-27.5,0.0069699389860033
2024-09-23_10-00-28.3,0.006797513924539
2024-09-23_10-00-29.1,0.0072683752514421
2024-09-23_10-00-29.9,0.0075250039808452
2024-09-23_10-00-30.8,0.0071438490413129
2024-09-23_10-00-31.6,0.0071438490413129
2024-09-23_10-00-32.4,0.0069636218249797
2024-09-23_10-00-33.2,0.0070121558383107
2024-09-23_10-00-34,0.0067912326194345
2024-09-23_10-00-34.8,0.0069218813441693
2024-09-23_10-00-35.6,0.0069218813441693
2024-09-23_10-00-36.5,0.007565370760858
2024-09-23_10-00-37.3,0.007574385497719
2024-09-23_10-00-38.1,0.0075820600613951
2024-09-23_10-00-38.9,0.0075800092890858
2024-09-23_10-00-39.7,0.0075800092890858
2024-09-23_10-00-40.5,0.0074125593528151
2024-09-23_10-00-41.3,0.0072349268011748
2024-09-23_10-00-42.2,0.0074730636551976
2024-09-23_10-00-43,0.0073740999214351
2024-09-23_10-00-43.8,0.007392855361104
2024-09-23_10-00-44.6,0.007392855361104
2024-09-23_10-00-45.4,0.0071739014238119
2024-09-23_10-00-46.2,0.0073788459412753
2024-09-23_10-00-47,0.0075020543299615
2024-09-23_10-00-47.9,0.007435075007379
2024-09-23_10-00-48.7,0.007435075007379
2024-09-23_10-00-49.5,0.0073004001751542
2024-09-23_10-00-50.3,0.0076370579190552
2024-09-23_10-00-51.1,0.0074702175334095
2024-09-23_10-00-51.9,0.0073062609881162
2024-09-23_10-00-52.7,0.0064782970584928
2024-09-23_10-00-53.6,0.0064782970584928
2024-09-23_10-00-54.4,8.705615982762538e-06
2024-09-23_10-00-55.2,0.0056528551504015
2024-09-23_10-00-56,0.0059629948809742
2024-09-23_10-00-56.8,0.0069564897567033
2024-09-23_10-00-57.6,0.0069564897567033
2024-09-23_10-00-58.4,0.0073792487382888
2024-09-23_10-00-59.3,0.006861132569611
2024-09-23_10-01-00.1,0.0058664227835834
2024-09-23_10-01-00.9,0.0056707826443016
2024-09-23_10-01-01.7,0.0056707826443016
2024-09-23_10-01-02.5,0.0062020332552492
2024-09-23_10-01-03.3,0.0056890253908932
2024-09-23_10-01-04.1,0.0056332014501094
2024-09-23_10-01-04.9,0.0056783226318657
2024-09-23_10-01-05.7,0.0056409589014947
2024-09-23_10-01-06.6,0.0056409589014947
2024-09-23_10-01-07.4,0.006007804069668
2024-09-23_10-01-08.2,0.0059978431090712
2024-09-23_10-01-09,0.00598272588104
2024-09-23_10-01-09.8,0.0058536357246339
2024-09-23_10-01-10.6,0.0058536357246339
2024-09-23_10-01-11.4,0.0060181566514074
2024-09-23_10-01-12.3,0.0065645542927086
2024-09-23_10-01-13.1,0.0065462281927466
2024-09-23_10-01-13.9,0.006164732389152
2024-09-23_10-01-14.7,0.006164732389152
2024-09-23_10-01-15.5,0.0062375916168093
2024-09-23_10-01-16.3,0.0062178657390177
2024-09-23_10-01-17.2,0.0064873737283051
2024-09-23_10-01-18,0.0067556765861809
2024-09-23_10-01-18.8,0.0066178319975733
2024-09-23_10-01-19.6,0.0066178319975733
2024-09-23_10-01-20.4,0.0067070829682052
2024-09-23_10-01-21.2,0.0075703021138906
2024-09-23_10-01-22,0.007563792169094
2024-09-23_10-01-22.9,0.0075287516228854
2024-09-23_10-01-23.7,0.0075287516228854
2024-09-23_10-01-24.5,0.0072067119181156
2024-09-23_10-01-25.3,0.0075464178808033
2024-09-23_10-01-26.1,0.0069470158778131
2024-09-23_10-01-26.9,0.0068338061682879
2024-09-23_10-01-27.7,0.0070701404474675
2024-09-23_10-01-28.6,0.0070701404474675
