Time Bucket (America/Costa_Rica),corriente
2024-09-11_10-56-1,8.032371521
2024-09-11_10-56-2,8.285311699
2024-09-11_10-56-3,10.29283333
2024-09-11_10-56-4,10.23607826
2024-09-11_10-56-5,10.05767536
2024-09-11_10-56-6,10.03066158
2024-09-11_10-56-7,9.943757057
2024-09-11_10-56-8,9.962777138
2024-09-11_10-56-9,9.970863342
2024-09-11_10-56-10,9.967292786
2024-09-11_10-56-11,9.970085144
2024-09-11_10-56-12,9.961953163
2024-09-11_10-56-13,9.943647385
2024-09-11_10-56-14,9.95083046
2024-09-11_10-56-15,9.926809311
2024-09-11_10-56-16,9.938423157
2024-09-11_10-56-17,9.946174622
2024-09-11_10-56-18,9.952377319
2024-09-11_10-57-17,9.950942039
2024-09-11_10-57-18,9.945801735
2024-09-11_10-57-19,10.00578499
2024-09-11_10-57-20,10.15199757
2024-09-11_10-57-21,10.17564011
2024-09-11_10-57-22,10.17564011
2024-09-11_10-57-23,10.18509483
2024-09-11_10-57-24,10.17667961
2024-09-11_10-57-25,10.16125393
2024-09-11_10-57-26,10.16125393
2024-09-11_10-57-27,10.14305115
2024-09-11_10-57-28,10.12212944
2024-09-11_10-57-29,10.09906578
2024-09-11_10-57-30,10.07059383
2024-09-11_10-57-31,10.07059383
2024-09-11_10-57-32,10.0904026
2024-09-11_10-57-33,10.10691071
2024-09-11_10-57-34,10.09780502
2024-09-11_10-57-35,10.0907383
2024-09-11_10-57-36,10.0907383
2024-09-11_10-57-37,10.07437134
2024-09-11_10-57-38,10.06143761
2024-09-11_10-57-39,10.02935696
2024-09-11_10-57-40,10.02935696
2024-09-11_10-57-41,10.01905918
2024-09-11_10-57-42,10.02516651
2024-09-11_10-57-43,10.03425407
2024-09-11_10-57-44,10.02138519
2024-09-11_10-57-45,10.02138519
2024-09-11_10-57-46,10.02391243
2024-09-11_10-57-47,10.01691914
2024-09-11_10-57-48,9.993127823
2024-09-11_10-57-49,9.993127823
2024-09-11_10-57-50,9.977324486
2024-09-11_10-57-51,9.968917847
2024-09-11_10-57-52,9.969582558
2024-09-11_10-57-53,9.959506035
2024-09-11_10-57-54,9.959506035
2024-09-11_10-57-55,9.957072258
2024-09-11_10-57-56,9.968836784
2024-09-11_10-57-57,9.947446823
2024-09-11_10-57-58,9.947446823
2024-09-11_10-58-10,2.567303896
2024-09-11_10-58-11,2.567303896
2024-09-11_10-58-12,8.205130577
2024-09-11_10-58-13,9.222208977
2024-09-11_10-58-14,9.92052269
2024-09-11_10-58-15,9.92052269
2024-09-11_10-58-16,9.920393944
2024-09-11_10-58-17,9.910130501
2024-09-11_10-58-18,9.900413513
2024-09-11_10-58-19,9.888626099
2024-09-11_10-58-20,9.888626099
2024-09-11_10-58-21,9.876226425
2024-09-11_10-58-22,9.848819733
2024-09-11_10-58-23,9.840449333
2024-09-11_10-58-24,9.840449333
2024-09-11_10-58-25,9.84452343
2024-09-11_10-58-26,9.846298218
2024-09-11_10-58-27,9.84257412
2024-09-11_10-58-28,9.84257412
2024-09-11_10-58-29,9.838521957
2024-09-11_10-58-30,9.822591782
2024-09-11_10-58-31,9.806757927
2024-09-11_10-58-32,9.792342186
2024-09-11_10-58-33,9.792342186
2024-09-11_10-58-34,9.78339386
2024-09-11_10-58-35,9.790402412
2024-09-11_10-58-36,9.782185555
2024-09-11_10-58-37,9.782185555
2024-09-11_10-58-38,9.777991295
2024-09-11_10-58-39,9.77924633
2024-09-11_10-58-40,9.764430046
2024-09-11_10-58-41,9.753861427
2024-09-11_10-58-42,9.753861427
2024-09-11_10-58-43,9.74087429
2024-09-11_10-58-44,9.734823227
2024-09-11_10-58-45,9.735876083
2024-09-11_10-58-46,9.735876083
2024-09-11_10-58-47,9.732478142
2024-09-11_10-58-48,9.729398727
2024-09-11_10-58-49,9.721731186
2024-09-11_10-58-50,9.721731186
2024-09-11_10-58-51,9.710785866
2024-09-11_10-58-52,9.701189995
2024-09-11_10-58-53,9.68030262
2024-09-11_10-58-54,9.676856041
2024-09-11_10-58-55,9.676856041
2024-09-11_10-58-56,9.678530693
2024-09-11_10-58-57,9.667168617
2024-09-11_10-58-58,9.667741776
2024-09-11_10-58-59,9.667741776
2024-09-11_10-59-0,9.658943176
2024-09-11_10-59-1,9.648978233
2024-09-11_10-59-2,9.6210289
2024-09-11_10-59-3,9.6210289
2024-09-11_10-59-4,9.616285324
2024-09-11_10-59-5,9.614071846
2024-09-11_10-59-6,9.606805801
2024-09-11_10-59-7,9.602933884
2024-09-11_10-59-8,9.602933884
2024-09-11_10-59-9,9.605368614
2024-09-11_10-59-10,9.586648941
2024-09-11_10-59-11,9.579574585
2024-09-11_10-59-12,9.579574585
2024-09-11_10-59-13,9.569203377
2024-09-11_10-59-14,9.556077003
2024-09-11_10-59-15,9.556114197
2024-09-11_10-59-16,9.556114197
2024-09-11_10-59-17,9.552325249
2024-09-11_10-59-18,9.546869278
2024-09-11_10-59-19,9.537208557
2024-09-11_10-59-20,9.524999619
2024-09-11_10-59-21,9.524999619
2024-09-11_10-59-22,9.515937805
2024-09-11_10-59-23,9.497513771
2024-09-11_10-59-24,9.493540764
2024-09-11_10-59-25,9.493540764
2024-09-11_10-59-26,9.495519638
2024-09-11_10-59-27,9.486610413
2024-09-11_10-59-28,9.480955124
2024-09-11_10-59-29,9.480955124
2024-09-11_10-59-30,9.472172737
2024-09-11_10-59-31,9.465346336
2024-09-11_10-59-32,9.44298172
2024-09-11_10-59-33,9.432966232
2024-09-11_10-59-34,9.432966232
2024-09-11_10-59-35,9.432861328
2024-09-11_10-59-36,9.423424721
2024-09-11_10-59-37,9.420825005
2024-09-11_10-59-38,9.420825005
2024-09-11_10-59-39,9.41787529
2024-09-11_10-59-40,9.407079697
2024-09-11_10-59-41,9.386054993
2024-09-11_10-59-42,9.373306274
2024-09-11_10-59-43,9.373306274
2024-09-11_10-59-44,9.363481522
2024-09-11_10-59-45,9.360185623
2024-09-11_10-59-46,9.347177505
2024-09-11_10-59-47,9.347177505
2024-09-11_10-59-48,9.347842216
2024-09-11_10-59-49,9.33873558
2024-09-11_10-59-50,9.328172684
