fecha,Consumo_T,cafetera_Pred,esmeril_Pred,licuadora_Pred,microondas_Pred
2024-08-16_08-00-35,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-38,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-40,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-42,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-44,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-46,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-49,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-51,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-53,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-55,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-00-57,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-00,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-02,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-04,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-06,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-08,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-10,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-13,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-15,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-17,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-19,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-21,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-24,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-26,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-28,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-30,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-32,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-35,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-37,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-39,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-41,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-43,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-46,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-48,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-50,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-52,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-54,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-57,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-01-59,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-01,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-03,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-05,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-08,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-10,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-12,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-14,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-16,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-19,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-21,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-23,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-25,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-27,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-30,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-32,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-34,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-36,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-38,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-41,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-43,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-45,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-47,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-49,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-52,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-54,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-56,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-02-58,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-00,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-03,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-05,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-07,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-09,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-11,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-14,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-16,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-18,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-20,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-22,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-25,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-27,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-29,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-31,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-33,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-35,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-38,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-40,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-42,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-44,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-46,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-49,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-51,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-53,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-55,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-03-57,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-00,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-02,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-04,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-06,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-08,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-11,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-13,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-15,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-17,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-19,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-22,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-24,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-26,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-28,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-30,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-33,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-35,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-37,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-39,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-41,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-44,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-46,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-48,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-50,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-52,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-55,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-57,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-04-59,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-01,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-03,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-06,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-08,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-10,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-12,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-14,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-17,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-19,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-21,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-23,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-25,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-28,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
2024-08-16_08-05-30,5.877471754111439e-39,5.877471754111439e-39,0.0,0.0,0.0
