fecha,Consumo_T,Consumo_Refrigerador_Pred,Consumo_Ventilador_Pred
2024-09-25 15:00:01,0.93769770860672,0.6317388306137522,0.3059588779929677
2024-09-25 15:00:01,0.9372377395629884,0.6314289436393697,0.3058087959236186
2024-09-25 15:00:02,0.9372377395629884,0.6314289436393697,0.3058087959236186
2024-09-25 15:00:03,0.9380150437355042,0.6319526233119008,0.30606242042360327
2024-09-25 15:00:04,0.9379446506500244,0.6319051985980553,0.3060394520519691
2024-09-25 15:00:05,0.9369322061538696,0.6312231019093342,0.30570910424453557
2024-09-25 15:00:05,0.9393218755722046,0.6328330524829955,0.3064888230892091
2024-09-25 15:00:06,0.9393218755722046,0.6328330524829955,0.3064888230892091
2024-09-25 15:00:07,0.9374066591262816,0.6315427468900371,0.30586391223624465
2024-09-25 15:00:08,0.935904860496521,0.63053096611946,0.3053738943770609
2024-09-25 15:00:09,0.9349710941314696,0.6299018758848252,0.30506921824664446
2024-09-25 15:00:09,0.9339699149131776,0.6292273687565756,0.30474254615660207
2024-09-25 15:00:10,0.93552166223526,0.6302728005942164,0.3052488616410436
2024-09-25 15:00:11,0.93552166223526,0.6302728005942164,0.3052488616410436
2024-09-25 15:00:12,0.9366410374641418,0.6310269378728097,0.3056140995913322
2024-09-25 15:00:13,0.9351819753646852,0.6300439492443388,0.30513802612034635
2024-09-25 15:00:14,0.9348265528678894,0.6298044966036438,0.30502205626424567
2024-09-25 15:00:14,0.9370227456092834,0.6312840994879381,0.3057386461213454
2024-09-25 15:00:15,0.9370227456092834,0.6312840994879381,0.3057386461213454
2024-09-25 15:00:16,0.9344747066497804,0.6295674533472255,0.30490725330255486
2024-09-25 15:00:17,0.9349214434623718,0.6298684255997844,0.3050530178625875
2024-09-25 15:00:18,0.9364535808563232,0.6309006459803083,0.3055529348760149
2024-09-25 15:00:18,0.9361763596534728,0.6307138785424629,0.30546248111101
2024-09-25 15:00:19,0.9361763596534728,0.6307138785424629,0.30546248111101
2024-09-25 15:00:20,0.9356619715690612,0.6303673287706705,0.3052946427983907
2024-09-25 15:00:21,0.936255931854248,0.6307674873426184,0.3054884445116296
2024-09-25 15:00:22,0.9361907243728638,0.6307235562359741,0.3054671681368897
2024-09-25 15:00:22,0.9351534247398376,0.6300247143265301,0.3051287104133075
2024-09-25 15:00:23,0.933189570903778,0.6287016411074091,0.30448792979636885
2024-09-25 15:00:24,0.933189570903778,0.6287016411074091,0.30448792979636885
2024-09-25 15:00:25,0.9334427118301392,0.6288721853577919,0.3045705264723474
2024-09-25 15:00:26,0.9322357773780824,0.6280590583208251,0.30417671905725724
2024-09-25 15:00:27,0.9321620464324952,0.6280093848483215,0.3041526615841738
2024-09-25 15:00:27,0.9314225316047668,0.6275111643363135,0.3039113672684533
2024-09-25 15:00:28,0.9314225316047668,0.6275111643363135,0.3039113672684533
2024-09-25 15:00:29,0.9336756467819214,0.6290291165870113,0.30464653019491006
2024-09-25 15:00:30,0.9340149760246276,0.6292577269984613,0.3047572490261663
2024-09-25 15:00:31,0.934636652469635,0.6296765582985533,0.30496009417108166
2024-09-25 15:00:31,0.9333488941192628,0.6288089791769343,0.30453991494232857
2024-09-25 15:00:32,0.9333488941192628,0.6288089791769343,0.30453991494232857
2024-09-25 15:00:33,0.932174801826477,0.628017978318908,0.30415682350756895
2024-09-25 15:00:34,0.9312979578971864,0.6274272374506767,0.3038707204465096
2024-09-25 15:00:35,0.9309923648834229,0.6272213555642365,0.3037710093191864
2024-09-25 15:00:35,0.9306908249855042,0.6270182043133098,0.30367262067219436
2024-09-25 15:00:36,0.9306832551956176,0.6270131044499241,0.3036701507456935
2024-09-25 15:00:37,0.9306832551956176,0.6270131044499241,0.3036701507456935
2024-09-25 15:00:38,0.9296830296516418,0.6263392398241482,0.3033437898274937
2024-09-25 15:00:39,0.9306535720825196,0.6269931065604281,0.30366046552209164
2024-09-25 15:00:40,0.9332420825958252,0.6287370188998714,0.3045050636959538
2024-09-25 15:00:40,0.9314702153205872,0.6275432894600023,0.30392692586058484
2024-09-25 15:00:41,0.9314702153205872,0.6275432894600023,0.30392692586058484
2024-09-25 15:00:42,0.9314457178115844,0.6275267851777071,0.30391893263387726
2024-09-25 15:00:43,0.9312604069709778,0.6274019389157718,0.30385846805520594
2024-09-25 15:00:44,0.931312620639801,0.627437115926211,0.30387550471359004
2024-09-25 15:00:44,0.9320937395095824,0.6279633656086371,0.3041303739009452
2024-09-25 15:00:45,0.9320937395095824,0.6279633656086371,0.3041303739009452
2024-09-25 15:00:46,0.9325298070907592,0.6282571498647708,0.30427265722598845
2024-09-25 15:00:47,0.9325256943702698,0.6282543790728526,0.30427131529741713
2024-09-25 15:00:48,0.9327742457389832,0.6284218312800802,0.30435241445890293
2024-09-25 15:00:48,0.9316885471343994,0.6276903823700921,0.3039981647643073
2024-09-25 15:00:49,0.9316885471343994,0.6276903823700921,0.3039981647643073
2024-09-25 15:00:50,0.9319626092910768,0.6278750215184933,0.30408758777258355
2024-09-25 15:00:51,0.93150532245636,0.6275669415823183,0.3039383808740418
2024-09-25 15:00:52,0.9321323037147522,0.6279893468024205,0.3041429569123317
2024-09-25 15:00:53,0.9320176839828492,0.6279121260363538,0.30410555794649546
2024-09-25 15:00:53,0.9325666427612304,0.6282819665228203,0.3042846762384101
2024-09-25 15:00:54,0.9325666427612304,0.6282819665228203,0.3042846762384101
2024-09-25 15:00:55,0.9308003187179564,0.62709197162858,0.30370834708937644
2024-09-25 15:00:56,0.9328737258911132,0.6284888523193758,0.3043848735717374
