fecha,Potencia_activa_Total
2024-09-25_10-00-00.8,0.0379970669746398
2024-09-25_10-00-01.6,0.0383256785571575
2024-09-25_10-00-02.5,0.0381864346563816
2024-09-25_10-00-03.3,0.0379769317805767
2024-09-25_10-00-04.1,0.0381943583488464
2024-09-25_10-00-04.9,0.0381943583488464
2024-09-25_10-00-05.7,0.037957776337862
2024-09-25_10-00-06.5,0.0379472225904464
2024-09-25_10-00-07.3,0.0381456390023231
2024-09-25_10-00-08.1,0.0381426066160202
2024-09-25_10-00-09,0.0381426066160202
2024-09-25_10-00-09.8,0.0382214821875095
2024-09-25_10-00-10.6,0.0383442528545856
2024-09-25_10-00-11.4,0.0382969006896019
2024-09-25_10-00-12.2,0.0382802933454513
2024-09-25_10-00-13,0.0382802933454513
2024-09-25_10-00-13.8,0.0382550060749053
2024-09-25_10-00-14.6,0.0380520671606063
2024-09-25_10-00-15.5,0.0376041382551193
2024-09-25_10-00-16.3,0.0378160215914249
2024-09-25_10-00-17.1,0.0379219576716423
2024-09-25_10-00-17.9,0.0379219576716423
2024-09-25_10-00-18.7,0.0379823148250579
2024-09-25_10-00-19.5,0.0382194891571998
2024-09-25_10-00-20.3,0.0381248518824577
2024-09-25_10-00-21.1,0.0379962958395481
2024-09-25_10-00-21.9,0.0379962958395481
2024-09-25_10-00-22.8,0.0379749126732349
2024-09-25_10-00-23.6,0.037999041378498
2024-09-25_10-00-24.4,0.0379612185060977
2024-09-25_10-00-25.2,0.0381026342511177
2024-09-25_10-00-26,0.0381026342511177
2024-09-25_10-00-26.8,0.0380393639206886
2024-09-25_10-00-27.6,0.0382020436227321
2024-09-25_10-00-28.5,0.038152065128088
2024-09-25_10-00-29.3,0.0381646715104579
2024-09-25_10-00-30.1,0.0383219607174396
2024-09-25_10-00-30.9,0.0383219607174396
2024-09-25_10-00-31.7,0.0383798032999038
2024-09-25_10-00-32.5,0.0382484905421733
2024-09-25_10-00-33.3,0.0383648984134197
2024-09-25_10-00-34.1,0.0383730381727218
2024-09-25_10-00-35,0.0383730381727218
2024-09-25_10-00-35.8,0.038280326873064
2024-09-25_10-00-36.6,0.0381285510957241
2024-09-25_10-00-37.4,0.0378745086491107
2024-09-25_10-00-38.2,0.0381380356848239
2024-09-25_10-00-39,0.0381380356848239
2024-09-25_10-00-39.8,0.0381283722817897
2024-09-25_10-00-40.6,0.0379479229450225
2024-09-25_10-00-41.5,0.037819068878889
2024-09-25_10-00-42.3,0.038184069097042
2024-09-25_10-00-43.1,0.0381297208368778
2024-09-25_10-00-43.9,0.0381297208368778
2024-09-25_10-00-44.7,0.0379549302160739
2024-09-25_10-00-45.5,0.0379428379237651
2024-09-25_10-00-46.3,0.0377059467136859
2024-09-25_10-00-47.1,0.0373649299144744
2024-09-25_10-00-48,0.0373649299144744
2024-09-25_10-00-48.8,0.0376854538917541
2024-09-25_10-00-49.6,0.0375907756388187
2024-09-25_10-00-50.4,0.0378171205520629
2024-09-25_10-00-51.2,0.03805623203516
2024-09-25_10-00-52,0.03805623203516
2024-09-25_10-00-52.8,0.0381354875862598
2024-09-25_10-00-53.7,0.0380488783121109
2024-09-25_10-00-54.5,0.037572968751192
2024-09-25_10-00-55.3,0.0375560708343982
2024-09-25_10-00-56.1,0.0377425290644168
2024-09-25_10-00-56.9,0.0377425290644168
