Tiempo de Inicio,Tiempo de Fin,Duración,Valor Inicial,Valor Final
2024-10-16 13:00:00,2024-10-16 14:30:00,01:30:00,2.8171,2.8141
2024-10-16 15:00:00,2024-10-16 15:00:00,00:00:00,2.8326,2.8326
2024-10-16 15:30:00,2024-10-16 15:45:00,00:15:00,2.8195,2.8225
2024-10-16 16:15:00,2024-10-16 16:15:00,00:00:00,2.7994,2.7994
2024-10-16 18:15:00,2024-10-16 18:15:00,00:00:00,2.6371,2.6371
2024-10-16 19:00:00,2024-10-16 19:30:00,00:30:00,0.0073,0.0073
2024-10-16 21:00:00,2024-10-16 21:30:00,00:30:00,0.0074,0.0073
2024-10-16 22:15:00,2024-10-17 16:00:00,17:45:00,0.0075,0.0004
2024-10-17 17:00:00,2024-10-17 17:00:00,00:00:00,2.7117,2.7117
2024-10-17 17:30:00,2024-10-17 17:30:00,00:00:00,2.6796,2.6796
2024-10-17 18:30:00,2024-10-17 18:45:00,00:15:00,2.6222,2.6186
2024-10-17 19:15:00,2024-10-17 19:15:00,00:00:00,2.5933,2.5933
2024-10-17 20:15:00,2024-10-18 10:30:00,14:15:00,0.0068,0.0069
2024-10-18 11:30:00,2024-10-18 11:45:00,00:15:00,2.7833,2.7932
2024-10-18 12:15:00,2024-10-18 12:15:00,00:00:00,2.8003,2.8003
2024-10-18 13:45:00,2024-10-18 13:45:00,00:00:00,2.8683,2.8683
2024-10-18 14:30:00,2024-10-18 14:45:00,00:15:00,2.8542,2.8495
2024-10-18 15:30:00,2024-10-18 16:15:00,00:45:00,2.8083,2.802
2024-10-18 17:00:00,2024-10-18 17:00:00,00:00:00,2.7582,2.7582
2024-10-18 19:00:00,2024-10-18 19:00:00,00:00:00,2.5815,2.5815
2024-10-18 19:30:00,2024-10-18 19:30:00,00:00:00,2.5491,2.5491
2024-10-18 20:30:00,2024-10-21 13:15:00,16:45:00,0.0071,0.0064
2024-10-21 14:30:00,2024-10-21 14:30:00,00:00:00,2.8766,2.8766
2024-10-21 15:30:00,2024-10-21 15:45:00,00:15:00,2.789,2.7982
2024-10-21 16:45:00,2024-10-21 16:45:00,00:00:00,2.6944,2.6944
2024-10-21 17:15:00,2024-10-21 17:30:00,00:15:00,2.6676,2.663
2024-10-21 18:00:00,2024-10-21 18:00:00,00:00:00,2.6539,2.6539
2024-10-21 18:30:00,2024-10-21 18:45:00,00:15:00,2.6392,2.6455
2024-10-21 19:15:00,2024-10-21 19:15:00,00:00:00,2.63,2.63
2024-10-21 20:00:00,2024-10-22 00:00:00,04:00:00,0.0068,0.0068
