fecha,valor
2024-09-23_10:00:0,1.5004000663757324
2024-09-23_10:00:1,1.4913740158081055
2024-09-23_10:00:2,1.508296012878418
2024-09-23_10:00:3,1.4985120296478271
2024-09-23_10:00:4,1.4986579418182373
2024-09-23_10:00:4,1.4843930006027222
2024-09-23_10:00:5,1.4843930006027222
2024-09-23_10:00:6,1.4925119876861572
2024-09-23_10:00:7,1.4825559854507446
2024-09-23_10:00:8,1.4941809177398682
2024-09-23_10:00:8,1.5048359632492065
2024-09-23_10:00:9,1.5048359632492065
2024-09-23_10:00:10,1.4775890111923218
2024-09-23_10:00:11,1.4767550230026245
2024-09-23_10:00:12,1.484827995300293
2024-09-23_10:00:12,1.483464002609253
2024-09-23_10:00:13,1.483464002609253
2024-09-23_10:00:14,1.4906280040740967
2024-09-23_10:00:15,1.4815430641174316
2024-09-23_10:00:16,1.49937105178833
2024-09-23_10:00:16,1.492156982421875
2024-09-23_10:00:17,1.4865570068359375
2024-09-23_10:00:18,1.4865570068359375
2024-09-23_10:00:19,1.4815930128097534
2024-09-23_10:00:20,1.4833829402923584
2024-09-23_10:00:21,1.5027079582214355
2024-09-23_10:00:21,1.0
2024-09-23_10:00:22,1.0
2024-09-23_10:00:23,1.5230979919433594
2024-09-23_10:00:24,1.4852230548858643
2024-09-23_10:00:25,1.4927880764007568
2024-09-23_10:00:25,1.496077060699463
2024-09-23_10:00:26,1.496077060699463
2024-09-23_10:00:27,1.4909839630126953
2024-09-23_10:00:28,1.4717519283294678
2024-09-23_10:00:29,1.480921983718872
2024-09-23_10:00:30,1.4804940223693848
2024-09-23_10:00:30,1.4800689220428467
2024-09-23_10:00:31,1.4800689220428467
2024-09-23_10:00:32,1.4637510776519775
2024-09-23_10:00:33,1.4838780164718628
2024-09-23_10:00:34,1.484205961227417
2024-09-23_10:00:34,1.4830069541931152
2024-09-23_10:00:35,1.4830069541931152
2024-09-23_10:00:36,1.4821239709854126
2024-09-23_10:00:37,1.4871699810028076
2024-09-23_10:00:38,1.502295970916748
2024-09-23_10:00:38,1.5003060102462769
2024-09-23_10:00:39,1.5003060102462769
2024-09-23_10:00:40,1.4962120056152344
2024-09-23_10:00:41,1.5009679794311523
2024-09-23_10:00:42,1.5022039413452148
2024-09-23_10:00:43,1.4961190223693848
2024-09-23_10:00:43,1.503250002861023
2024-09-23_10:00:44,1.503250002861023
2024-09-23_10:00:45,1.489467978477478
2024-09-23_10:00:46,1.5057439804077148
2024-09-23_10:00:47,1.5045850276947021
2024-09-23_10:00:47,1.4912539720535278
2024-09-23_10:00:48,1.4912539720535278
2024-09-23_10:00:49,1.4959769248962402
2024-09-23_10:00:50,1.496164083480835
2024-09-23_10:00:51,1.502344012260437
2024-09-23_10:00:51,1.4937090873718262
2024-09-23_10:00:52,1.5220290422439575
2024-09-23_10:00:53,1.5220290422439575
2024-09-23_10:00:54,1.0
2024-09-23_10:00:55,1.52230703830719
2024-09-23_10:00:56,1.503175973892212
2024-09-23_10:00:56,1.4761359691619873
2024-09-23_10:00:57,1.4761359691619873
2024-09-23_10:00:58,1.4900739192962646
2024-09-23_10:00:59,1.492447018623352
2024-09-23_10:01:0,1.4973070621490479
2024-09-23_10:01:0,1.5131659507751465
2024-09-23_10:01:1,1.5131659507751465
2024-09-23_10:01:2,1.4721180200576782
2024-09-23_10:01:3,1.526229977607727
2024-09-23_10:01:4,1.5554569959640503
2024-09-23_10:01:4,1.5428650379180908
2024-09-23_10:01:5,1.5412859916687012
2024-09-23_10:01:6,1.5412859916687012
2024-09-23_10:01:7,1.5395840406417847
2024-09-23_10:01:8,1.5218570232391357
