Time Bucket (America/Costa_Rica),UTeM CIER Sala Mestros-Mains_A (kWatts),UTeM CIER Sala Mestros-Mains_B (kWatts),UTeM CIER Sala Mestros-Mains_C (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 1 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Rack (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Aula Medios (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L1 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L2 (kWatts),UTeM CIER Sala Mestros-Sub Panel-Tab Secundario L3 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Maestros 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Direccion 2 (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Sala Juntas (kWatts),UTeM CIER Sala Mestros-Air Conditioner-AC Cubiculos (kWatts),UTeM CIER Sala Mestros-Other-Circuit_12 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_13 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_14 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_15 (kWatts),UTeM CIER Sala Mestros-Other-Circuit_16 (kWatts)
09/07/2024 10:30:00,1.9995,1.8799,0.4360,0.0350,0.0218,0.5894,0.0140,0.1269,0.4165,0.2130,1.7535,0.0225,0.0960,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 10:45:00,1.2636,1.4904,0.3500,0.4133,0.0196,0.4477,0.0107,0.1140,0.0695,0.2191,1.7535,0.0225,0.0960,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 11:00:00,1.5368,1.7139,0.3149,0.0031,0.0220,0.4683,0.0119,0.0658,0.0580,0.2115,2.6249,0.0249,0.1067,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 11:15:00,1.6919,1.8733,0.2729,0.0028,0.0216,0.4205,0.0118,0.0478,0.0643,0.2353,2.8991,0.0247,0.1062,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 11:30:00,1.6886,1.8820,0.2482,0.0031,0.0213,0.3719,0.0120,0.0478,0.0761,0.2517,2.8747,0.0249,0.1062,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 11:45:00,1.9763,1.8497,0.2927,0.0066,0.0216,0.4260,0.0138,0.0641,0.3595,0.2119,2.8981,0.0248,0.1066,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 12:00:00,1.9063,1.8553,0.3724,0.0056,0.0217,0.4524,0.0133,0.1319,0.2930,0.2267,2.8882,0.0248,0.1064,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 12:15:00,1.5523,1.7708,0.3566,0.0034,0.0217,0.4338,0.0119,0.1262,0.0757,0.2626,2.6276,0.0248,0.1062,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 12:30:00,0.3557,0.4077,0.6593,0.0023,0.0227,0.4801,0.0117,0.1411,0.0778,0.2110,0.0104,0.5440,0.1060,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 12:45:00,0.6479,0.4064,1.0055,0.0026,0.0226,0.4775,0.0118,0.1863,0.0781,0.2112,0.0101,1.1331,0.1065,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 13:00:00,0.5168,0.4804,0.8023,0.0028,0.0217,0.3875,0.0119,0.1613,0.0731,0.2742,0.0101,0.8794,0.1062,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 13:15:00,0.4313,0.4204,0.3946,0.0058,0.0215,0.3759,0.0134,0.0958,0.3262,0.2117,0.0105,0.2117,0.1060,0.0000,No CT,No CT,No CT,No CT,No CT
09/07/2024 13:30:00,0.3385,0.4501,0.3149,0.0059,0.0214,0.3697,0.0133,0.1165,0.3267,0.2454,0.0101,0.0253,0.1048,0.0000,No CT,No CT,No CT,No CT,No CT
