fecha,valor
2024-09-25_12-00-0,122.5159912109375
2024-09-25_12-00-1,122.72713470458984
2024-09-25_12-00-1,122.72713470458984
2024-09-25_12-00-2,122.73277282714844
2024-09-25_12-00-3,122.6653823852539
2024-09-25_12-00-4,122.54690551757812
2024-09-25_12-00-5,122.44486236572266
2024-09-25_12-00-5,122.44486236572266
2024-09-25_12-00-6,122.38143157958984
2024-09-25_12-00-7,122.33876037597656
2024-09-25_12-00-8,122.35192108154297
2024-09-25_12-00-9,122.32083129882812
2024-09-25_12-00-10,122.32083129882812
2024-09-25_12-00-10,122.37018585205078
2024-09-25_12-00-11,122.39574432373047
2024-09-25_12-00-12,122.4156494140625
2024-09-25_12-00-13,122.47651672363281
2024-09-25_12-00-14,122.63417053222656
2024-09-25_12-00-14,122.63417053222656
2024-09-25_12-00-15,122.74560546875
2024-09-25_12-00-16,122.75236511230469
2024-09-25_12-00-17,122.64997100830078
2024-09-25_12-00-18,122.56283569335938
2024-09-25_12-00-19,122.56283569335938
2024-09-25_12-00-19,122.5906753540039
2024-09-25_12-00-20,122.58262634277344
2024-09-25_12-00-21,122.4573745727539
2024-09-25_12-00-22,122.4698715209961
2024-09-25_12-00-23,122.45620727539062
2024-09-25_12-00-23,122.45620727539062
2024-09-25_12-00-24,122.47542572021484
2024-09-25_12-00-25,122.6581802368164
2024-09-25_12-00-26,122.74549865722656
2024-09-25_12-00-27,122.76603698730469
2024-09-25_12-00-28,122.76603698730469
2024-09-25_12-00-28,122.59376525878906
2024-09-25_12-00-29,122.34972381591797
2024-09-25_12-00-30,122.40745544433594
2024-09-25_12-00-31,122.61320495605469
2024-09-25_12-00-32,122.65156555175781
2024-09-25_12-00-32,122.65156555175781
2024-09-25_12-00-33,122.67134857177734
2024-09-25_12-00-34,122.64000701904297
2024-09-25_12-00-35,122.320556640625
2024-09-25_12-00-36,122.25080108642578
2024-09-25_12-00-36,122.25080108642578
2024-09-25_12-00-37,122.54861450195312
2024-09-25_12-00-38,122.68401336669922
2024-09-25_12-00-39,122.57426452636719
2024-09-25_12-00-40,122.298095703125
2024-09-25_12-00-41,122.298095703125
2024-09-25_12-00-41,122.46805572509766
2024-09-25_12-00-42,122.63798522949219
2024-09-25_12-00-43,122.66281127929688
2024-09-25_12-00-44,122.62681579589844
2024-09-25_12-00-45,122.64275360107422
2024-09-25_12-00-45,122.64275360107422
2024-09-25_12-00-46,122.49299621582031
2024-09-25_12-00-47,122.4419937133789
2024-09-25_12-00-48,122.31742858886719
2024-09-25_12-00-49,122.40319061279297
2024-09-25_12-00-50,122.40319061279297
2024-09-25_12-00-50,122.31346893310547
2024-09-25_12-00-51,122.31684112548828
2024-09-25_12-00-52,122.49227142333984
2024-09-25_12-00-53,122.65565490722656
2024-09-25_12-00-54,122.65565490722656
2024-09-25_12-00-54,122.70698547363281
2024-09-25_12-00-55,122.68128967285156
2024-09-25_12-00-56,122.68077850341797
2024-09-25_12-00-57,122.6761474609375
2024-09-25_12-00-58,122.71090698242188
2024-09-25_12-00-58,122.71090698242188
2024-09-25_12-00-59,122.59632110595703
2024-09-25_12-01-0,122.67052459716797
2024-09-25_12-01-1,122.6931381225586
2024-09-25_12-01-2,122.67023468017578
2024-09-25_12-01-3,122.67023468017578
2024-09-25_12-01-3,122.68991088867188
2024-09-25_12-01-4,122.6374282836914
2024-09-25_12-01-5,122.6704330444336
2024-09-25_12-01-6,122.91155242919922
2024-09-25_12-01-7,122.8967514038086
2024-09-25_12-01-7,122.8967514038086
2024-09-25_12-01-8,122.90296173095703
2024-09-25_12-01-9,122.90530395507812
2024-09-25_12-01-10,122.95916748046875
2024-09-25_12-01-11,123.01467895507812
2024-09-25_12-01-11,123.01467895507812
2024-09-25_12-01-12,123.01834869384766
2024-09-25_12-01-13,123.02714538574219
2024-09-25_12-01-14,123.0775146484375
2024-09-25_12-01-15,123.06240844726562
2024-09-25_12-01-16,123.06240844726562
2024-09-25_12-01-16,123.05455017089844
2024-09-25_12-01-17,122.99078369140625
2024-09-25_12-01-18,123.00093078613281
2024-09-25_12-01-19,123.05608367919922
2024-09-25_12-01-20,123.08291625976562
2024-09-25_12-01-20,123.08291625976562
2024-09-25_12-01-21,123.02085876464844
2024-09-25_12-01-22,123.09073638916016
2024-09-25_12-01-23,123.07433319091797
2024-09-25_12-01-24,123.06918334960938
2024-09-25_12-01-25,123.06918334960938
2024-09-25_12-01-25,123.10357666015625
2024-09-25_12-01-26,123.05536651611328
2024-09-25_12-01-27,123.06562805175781
2024-09-25_12-01-28,123.03483581542969
2024-09-25_12-01-29,122.99092102050781
2024-09-25_12-01-29,122.99092102050781
