Consumo_T, Mains_A, Mains_B, Mains_C, AC Sala Maestros 1, AC Direccion 1, AC Rack, AC Aula Medios, Tab Secundario L1, Tab Secundario L2, Tab Secundario L3, AC Sala Maestros 2, AC Direccion 2, AC Sala Juntas, AC Cubiculos,Aula_Medios_Pred,Cubiculos_Pred,Direccion1_Pred,Direccion2_Pred,Rack_Pred,Sala_Juntas_Pred,Maestros1_Pred,Maestros2_Pred,Tab_L1_Pred,Tab_L2_Pred,Tab_L3_Pred
7.9517,1.7218,1.843,0.3954,0.0036,0.0222,0.6492,0.0124,0.0564,0.0868,0.115,2.9144,0.0248,0.1067,0.0,0.012631999999999987,1.089434999999999,0.021942000000000027,0.025407999999999972,0.511517,0.10542599999999996,0.003502999999999998,1.7239069999999999,0.1283269999999999,0.06543900000000005,0.3011339999999996
8.3308,1.7305,1.986,0.4349,0.0028,0.0221,0.6526,0.0123,0.0941,0.0895,0.2512,2.9235,0.0247,0.1066,0.0,0.01284999999999999,1.0272649999999997,0.022264000000000003,0.025492000000000008,0.5197610000000001,0.11601800000000012,0.003813000000000005,1.6710149999999988,0.1470929999999997,0.1317149999999999,0.5092069999999997
9.049,1.7257,2.3146,0.4706,0.0043,0.0222,0.6201,0.0126,0.1468,0.087,0.5963,2.9177,0.0246,0.1065,0.0,0.013029999999999988,0.17897599999999997,0.021994000000000024,0.025003999999999995,0.5187040000000005,0.10723900000000006,0.14340200000000014,2.6457819999999983,0.14194000000000018,0.2525749999999999,0.4830019999999998
8.6062,1.7129,2.1423,0.4314,0.0035,0.022,0.559,0.0125,0.1384,0.0863,0.4651,2.9013,0.025,0.1065,0.0,0.013137999999999993,0.9957739999999994,0.022100999999999992,0.025582999999999963,0.3999440000000001,0.1064069999999999,0.0050219999999999996,1.7724079999999987,0.22607400000000008,0.2126900000000001,0.5455629999999995
7.9882,1.7098,1.8646,0.4026,0.0032,0.022,0.5041,0.0114,0.1368,0.0832,0.2185,2.9008,0.0248,0.1064,0.0,0.012208000000000004,0.906208,0.022028999999999997,0.025405999999999995,0.43105200000000027,0.10640600000000008,0.0035909999999999965,1.7737290000000003,0.1677769999999998,0.16834699999999983,0.39380599999999966
8.3598,1.7315,1.8681,0.5665,0.0022,0.0218,0.4852,0.0111,0.3124,0.0831,0.2159,2.9308,0.0249,0.1063,0.0,0.01428299999999999,1.0045950000000006,0.021565999999999978,0.02545499999999997,0.3132839999999999,0.10684699999999994,0.007132000000000005,1.7767669999999995,0.10686600000000006,0.3968870000000004,0.41148599999999974
7.9934,1.7351,1.8702,0.3816,0.003,0.0218,0.4673,0.0118,0.134,0.083,0.2159,2.9386,0.0248,0.1063,0.0,0.013435999999999998,2.2972479999999984,0.02161800000000001,0.02569200000000003,0.31627999999999945,0.10388400000000007,0.005145999999999995,0.18375400000000003,0.13456200000000013,0.2365459999999996,0.6723359999999998
7.8516,1.7202,1.878,0.3433,0.0033,0.021,0.394,0.011,0.1333,0.0824,0.2138,2.9204,0.0244,0.1065,0.0,0.011259000000000002,0.023835000000000002,0.021467999999999966,0.024487999999999985,0.41841799999999923,0.106906,0.003395000000000003,2.8782509999999983,0.13147900000000007,0.08319799999999988,0.21762199999999982
3.042,0.4229,0.7083,0.3427,0.0029,0.022,0.393,0.0114,0.1332,0.0828,0.2048,0.5855,0.0253,0.1072,0.0,0.011839000000000011,0.0,0.022149000000000026,0.4809570000000005,0.37037100000000023,0.10546999999999994,0.0019160000000000028,0.010526999999999991,0.2083349999999998,0.17359899999999973,0.21187100000000014
1.8281,0.0978,0.4198,0.3341,0.0023,0.022,0.3764,0.0121,0.1332,0.0763,0.2097,0.0116,0.0255,0.1073,0.0,0.011701933333333338,0.0,0.022103799999999996,0.025640800000000033,0.3638250333333331,0.10688455000000013,0.0024010666666666653,0.011063183333333346,0.1465366000000002,0.07368344999999993,0.21489026666666688
2.1057,0.1767,0.4885,0.3236,0.1654,0.0218,0.3859,0.0115,0.118,0.0588,0.2112,0.0119,0.0256,0.1068,0.0,0.011767804761904754,0.0,0.022315697619047618,0.02598821666666666,0.33009778333333323,0.10745147619047613,0.10547829285714284,0.011279157142857148,0.1556821976190477,0.11163621904761899,0.2427788928571431
10.825,2.398,2.6236,0.2641,4.6518,0.0194,0.3877,0.0124,0.056,0.0588,0.2117,0.0102,0.0257,0.1056,0.0,1.5510440000000014,0.0,0.020086999999999997,0.05701599999999996,0.3027079999999998,0.10734300000000013,2.7004189999999983,0.010407999999999999,0.07548599999999997,0.07722099999999994,0.5816079999999999
5.3255,0.956,1.2602,0.3621,1.7591,0.0212,0.3844,0.0118,0.1576,0.0589,0.2117,0.0112,0.0256,0.1057,0.0,0.011856999999999989,0.0,0.021140999999999962,0.5600619999999997,0.3751600000000002,0.10407400000000003,0.001885,0.08909400000000006,0.639664999999999,0.7501890000000002,0.21431700000000023
1.8161,0.0807,0.4277,0.3392,0.0027,0.0217,0.3863,0.0119,0.1334,0.059,0.2109,0.0106,0.0256,0.1064,0.0,0.011876000000000018,0.0,0.02209200000000003,0.025724999999999994,0.3863429999999996,0.10707200000000001,0.002884000000000003,0.010708000000000016,0.140597,0.05905300000000006,0.21104099999999998
4.2928,0.8101,1.0621,0.2621,0.0032,0.0215,0.3834,0.0115,0.0561,0.0584,0.2121,1.2804,0.0253,0.1066,0.0,0.013567000000000006,0.0,0.02231499999999999,0.3041039999999997,0.3114829999999999,0.10754000000000011,0.005948999999999993,0.009847999999999997,0.4104990000000003,0.5046799999999994,0.5409430000000002
7.7458,1.7067,1.8735,0.2919,0.0031,0.0215,0.4555,0.012,0.0492,0.0579,0.2115,2.9317,0.0249,0.1064,0.0,0.012175000000000009,0.022216999999999997,0.021633000000000027,0.024894999999999997,0.4455440000000004,0.10633400000000005,0.0034519999999999967,2.881436000000001,0.05207499999999996,0.090616,0.2163889999999999
7.716,1.6897,1.8493,0.3045,0.0027,0.0221,0.4814,0.0119,0.0486,0.0579,0.2115,2.9049,0.025,0.1065,0.0,0.012627000000000005,0.231208,0.021965000000000016,0.025143999999999958,0.4128590000000004,0.10643699999999995,0.003999999999999998,2.5659409999999974,0.06938700000000007,0.16670200000000013,0.25601800000000013
7.7468,1.697,1.8566,0.3049,0.0029,0.0226,0.4824,0.0117,0.0486,0.058,0.2115,2.9187,0.025,0.1069,0.0,0.012037000000000018,0.022216999999999997,0.022139,0.024940999999999974,0.4579179999999996,0.10656399999999992,0.003360000000000003,2.875456,0.05179900000000003,0.09066199999999991,0.2163889999999999
7.7853,1.7096,1.8657,0.3043,0.0032,0.0222,0.4803,0.012,0.0486,0.0579,0.2116,2.9381,0.0248,0.107,0.0,0.01189500000000001,0.0,0.022068000000000008,0.024765999999999976,0.4692659999999998,0.10671699999999992,0.003120999999999999,2.934517,0.05785000000000009,0.06007000000000003,0.21151900000000026
7.8115,1.7186,1.8718,0.303,0.0036,0.0219,0.4779,0.0116,0.0486,0.0579,0.2117,2.9535,0.0247,0.1067,0.0,0.01160300000000002,0.0,0.021646000000000002,0.02475399999999999,0.45031799999999916,0.10648699999999993,0.003374,2.938274999999999,0.0671770000000001,0.06315700000000003,0.2225010000000004
8.1339,1.7102,1.8688,0.4743,0.0018,0.0223,0.4861,0.0118,0.2181,0.0578,0.2118,2.9395,0.0247,0.1067,0.0,0.012544000000000008,0.6789729999999998,0.02235699999999999,0.02527899999999999,0.4114220000000001,0.106675,0.003636000000000006,2.061037000000001,0.2207809999999999,0.19869800000000012,0.34376199999999985
7.7896,1.7067,1.8666,0.3075,0.0031,0.0222,0.4865,0.0123,0.0486,0.0579,0.2113,2.935,0.0249,0.107,0.0,0.011531000000000007,0.0,0.022286000000000007,0.02481799999999998,0.48329400000000006,0.10626899999999996,0.0025660000000000006,2.9387409999999967,0.04790299999999999,0.057698999999999966,0.21132500000000004
7.772,1.7077,1.8627,0.302,0.0029,0.0219,0.4768,0.012,0.0484,0.0579,0.2115,2.9366,0.0247,0.1069,0.0,0.01399199999999999,0.5412480000000001,0.021617000000000018,0.02512899999999997,0.34347100000000025,0.10478099999999987,0.006787000000000007,2.0775880000000004,0.08059900000000007,0.37139000000000005,0.3149879999999995
7.6877,1.6832,1.8433,0.3008,0.0022,0.0224,0.4756,0.0122,0.0477,0.0577,0.2115,2.8994,0.0247,0.107,0.0,0.012957999999999987,0.9841440000000002,0.022254,0.02538400000000002,0.34626799999999996,0.10611399999999999,0.004569999999999992,1.685480000000002,0.09756799999999996,0.18469600000000025,0.39524400000000015
7.7268,1.693,1.8516,0.3037,0.0045,0.0223,0.4811,0.0118,0.0478,0.0578,0.2115,2.9102,0.0248,0.1067,0.0,0.012721000000000005,0.21652199999999996,0.022049999999999997,0.02495699999999998,0.4079469999999999,0.10641900000000001,0.005792999999999997,2.5913950000000017,0.06079199999999993,0.18586100000000005,0.2445619999999999
7.8075,1.7133,1.8702,0.308,0.0043,0.0224,0.4897,0.0119,0.0479,0.0579,0.2116,2.939,0.0248,0.1065,0.0,0.01179200000000001,0.141926,0.022042999999999983,0.024958999999999995,0.45540899999999945,0.10619799999999982,0.0036670000000000023,2.7629109999999972,0.07084799999999994,0.07746900000000007,0.23429900000000015
7.7909,1.7079,1.8668,0.3091,0.0028,0.022,0.4922,0.0114,0.0479,0.0579,0.2111,2.9305,0.0249,0.1064,0.0,0.011455,0.0,0.022134000000000008,0.02485599999999999,0.4882719999999996,0.10634500000000001,0.0026799999999999992,2.9341809999999966,0.04790299999999999,0.057812999999999996,0.21121099999999987
7.8165,1.7172,1.8725,0.3074,0.0033,0.0219,0.4888,0.0121,0.048,0.058,0.2109,2.9452,0.025,0.1062,0.0,0.012005000000000005,0.0,0.02167500000000001,0.024954999999999977,0.45903099999999974,0.10617899999999994,0.003168000000000002,2.9227079999999983,0.057051,0.06487599999999992,0.24149099999999993
7.8859,1.7383,1.8889,0.3077,0.0029,0.0221,0.4893,0.0122,0.0478,0.0577,0.2113,2.9772,0.0248,0.1057,0.0,0.012655999999999992,0.5850000000000003,0.022075000000000018,0.025262999999999973,0.39199000000000006,0.106001,0.003995000000000002,2.1894330000000033,0.10835299999999996,0.14226100000000005,0.36893200000000026
7.7938,1.7123,1.8679,0.306,0.0021,0.0224,0.486,0.0113,0.0477,0.0577,0.2114,2.9382,0.0247,0.1061,0.0,0.011381999999999996,0.023385,0.022298000000000012,0.024772999999999996,0.4832349999999994,0.10617499999999985,0.0023739999999999968,2.9060939999999964,0.050900999999999946,0.06138299999999996,0.21569000000000002
7.8069,1.7137,1.8706,0.3068,0.0035,0.0223,0.4875,0.0117,0.0478,0.0578,0.2115,2.9425,0.0249,0.1063,0.0,0.01179200000000001,0.141926,0.022042999999999983,0.024958999999999995,0.45540899999999945,0.10619799999999982,0.0036670000000000023,2.7629109999999972,0.07084799999999994,0.07746900000000007,0.23429900000000015
7.7893,1.7142,1.8663,0.3028,0.0025,0.0224,0.4791,0.0116,0.0479,0.0576,0.2114,2.9425,0.0248,0.1062,0.0,0.011573000000000009,0.0,0.022274000000000006,0.024823999999999975,0.4829520000000001,0.10632299999999996,0.0026320000000000007,2.9387349999999977,0.04795699999999999,0.05771099999999997,0.211337
7.6684,1.6847,1.8382,0.2969,0.0019,0.022,0.4676,0.0117,0.0477,0.0577,0.2114,2.8977,0.0248,0.1061,0.0,0.012326000000000017,0.8057840000000001,0.022133999999999997,0.025351999999999982,0.3627360000000002,0.1056789999999998,0.0032850000000000067,1.8872479999999974,0.10419800000000007,0.15537800000000004,0.36621200000000015
7.6801,1.6867,1.8406,0.2973,0.0032,0.0221,0.4682,0.012,0.0479,0.0577,0.2117,2.9016,0.0247,0.1064,0.0,0.014056999999999993,2.232582999999997,0.022410999999999986,0.026194000000000016,0.183809,0.10587300000000006,0.0070379999999999965,0.146919,0.1825359999999999,0.3522220000000003,0.5911760000000006
7.602,1.6772,1.8294,0.283,0.0032,0.0219,0.4398,0.0117,0.0478,0.0578,0.2117,2.8876,0.0245,0.1064,0.0,0.01228800000000002,0.8254240000000004,0.022061000000000018,0.025184000000000012,0.3913700000000003,0.105168,0.0037339999999999973,1.8808929999999995,0.09169499999999987,0.09960700000000017,0.3584200000000002
7.5303,1.6779,1.8481,0.252,0.0034,0.021,0.3793,0.0113,0.0477,0.0578,0.2115,2.8889,0.0248,0.1066,0.0,0.011412000000000002,0.0,0.021110999999999974,0.024727999999999976,0.3753500000000003,0.10648800000000012,0.002919999999999998,2.8849340000000008,0.04774899999999995,0.06511800000000008,0.21138500000000002
7.4767,1.6619,1.8367,0.2513,0.0029,0.0213,0.3781,0.0122,0.048,0.0579,0.2115,2.8637,0.0246,0.1066,0.0,0.012585999999999991,0.43894399999999983,0.02158900000000002,0.02500999999999998,0.3410330000000002,0.10527000000000004,0.003514000000000005,2.321241999999997,0.067035,0.10340100000000002,0.29189000000000026
7.4565,1.6577,1.834,0.2482,0.0036,0.0212,0.3716,0.0123,0.0478,0.0576,0.2108,2.8606,0.0248,0.1063,0.0,0.01303699999999999,0.25899500000000003,0.02163200000000002,0.025172,0.32677700000000015,0.10727700000000004,0.00461,2.459909000000003,0.10964999999999998,0.1602700000000002,0.23996000000000006
7.4911,1.6693,1.842,0.248,0.003,0.0211,0.3713,0.012,0.0478,0.0579,0.2108,2.8768,0.0247,0.1064,0.0,0.012071000000000009,0.25193299999999996,0.021290999999999977,0.024899,0.3549430000000002,0.10615300000000001,0.003104000000000001,2.585471000000001,0.06693699999999989,0.058294000000000026,0.2501909999999999
7.5278,1.6949,1.8372,0.2467,0.0022,0.0211,0.3687,0.0119,0.0478,0.0842,0.2106,2.872,0.0243,0.1062,0.0,0.011951000000000014,0.23599799999999999,0.021164999999999972,0.024606000000000013,0.3522779999999999,0.10597599999999989,0.002258000000000003,2.6158020000000004,0.06482399999999994,0.07509000000000006,0.24236599999999972
7.5844,1.706,1.8535,0.2492,0.0033,0.0211,0.3739,0.0117,0.0476,0.0812,0.2112,2.8947,0.025,0.106,0.0,0.013793000000000007,2.2979899999999964,0.022697999999999996,0.026397999999999984,0.1769550000000002,0.09903000000000006,0.005297000000000008,0.039740999999999985,0.15553500000000015,0.3198969999999999,0.6501289999999997
7.5267,1.6877,1.8423,0.2487,0.0014,0.0209,0.373,0.0119,0.0479,0.0762,0.2111,2.8747,0.0248,0.1061,0.0,0.012107000000000012,0.65555,0.021242999999999984,0.025129999999999982,0.32314200000000015,0.1055399999999998,0.0023320000000000046,2.1590039999999973,0.09508800000000012,0.06014000000000006,0.2987819999999996
8.2643,1.6955,2.204,0.2492,0.0032,0.0208,0.374,0.0119,0.0473,0.0874,0.5723,2.8679,0.0247,0.1061,0.0,0.012673000000000014,0.9785079999999999,0.021289999999999983,0.025401000000000007,0.3512419999999997,0.10601099999999994,0.003933999999999997,1.7822629999999997,0.07046099999999994,0.14286000000000013,0.6337959999999997
8.5451,1.7053,2.3348,0.2501,0.0049,0.0211,0.3758,0.0125,0.0473,0.0856,0.6917,2.8853,0.0248,0.1059,0.0,0.045501000000000104,0.3356940000000001,0.021390999999999986,0.02502399999999997,0.3910080000000001,0.10601500000000003,0.005474000000000003,2.4824490000000012,0.09543500000000002,0.20515699999999973,0.5580709999999991
7.8154,1.698,1.975,0.2511,0.003,0.021,0.3775,0.012,0.0477,0.0794,0.3333,2.8864,0.0249,0.1061,0.0,0.011961000000000008,0.0,0.021278999999999982,0.024904999999999997,0.410173,0.10615299999999983,0.0030630000000000015,2.899278,0.05445299999999996,0.07387199999999992,0.2953800000000002
7.5393,1.6881,1.8456,0.2508,0.0031,0.0213,0.3775,0.0116,0.0477,0.0768,0.2113,2.8747,0.0248,0.106,0.0,0.01177800000000002,0.0,0.02139900000000004,0.024983999999999975,0.3642130000000002,0.10665599999999996,0.0032079999999999973,2.817288999999998,0.050445999999999935,0.07485400000000014,0.28411800000000037
7.5255,1.6876,1.8408,0.2479,0.003,0.021,0.3719,0.0119,0.0477,0.0784,0.2118,2.8727,0.0248,0.106,0.0,0.012169000000000008,0.65555,0.02131099999999998,0.025162999999999994,0.32080800000000004,0.10554799999999988,0.003335000000000002,2.150986,0.09688700000000006,0.06844900000000004,0.2991390000000001
7.4849,1.6779,1.8301,0.246,0.0034,0.0215,0.3679,0.012,0.0478,0.077,0.2115,2.8587,0.0248,0.1063,0.0,0.012121000000000009,0.304811,0.02150800000000002,0.02500699999999998,0.3620219999999997,0.10610799999999988,0.0033890000000000005,2.490408999999999,0.07363499999999987,0.06628399999999997,0.26894200000000007
7.5272,1.6842,1.8436,0.2502,0.0028,0.0212,0.3758,0.0122,0.0479,0.0745,0.2117,2.8723,0.0247,0.1061,0.0,0.011963000000000015,0.23599799999999999,0.021066999999999975,0.02482599999999998,0.35427800000000004,0.10592399999999984,0.001932000000000003,2.616763999999997,0.06486400000000003,0.07167600000000005,0.24258999999999953
7.5372,1.6884,1.8458,0.2493,0.0018,0.0212,0.3742,0.0122,0.0479,0.0738,0.2119,2.8796,0.0249,0.1062,0.0,0.012165999999999995,0.0,0.02134900000000004,0.025066000000000005,0.36071699999999957,0.10684999999999993,0.002419999999999999,2.813891000000001,0.050873999999999996,0.0728320000000001,0.2925760000000001
7.5099,1.6826,1.8368,0.2499,0.0029,0.0213,0.3753,0.0122,0.048,0.0785,0.2119,2.8595,0.0249,0.1061,0.0,0.012104999999999993,0.495102,0.021482000000000046,0.025151999999999997,0.3349459999999999,0.10573599999999989,0.003261000000000002,2.3216479999999993,0.08369499999999996,0.06464599999999997,0.28041100000000013
7.5714,1.6985,1.8535,0.25,0.0029,0.0212,0.3758,0.0117,0.0479,0.0742,0.2117,2.8928,0.0249,0.1063,0.0,0.01327433333333333,1.8475255333333354,0.022310999999999984,0.02619259999999998,0.2889790000000001,0.10160326666666661,0.00436593333333333,0.5641463999999994,0.11840606666666664,0.23774353333333342,0.5670473333333331
7.5335,1.6866,1.845,0.25,0.0031,0.0212,0.3761,0.0117,0.0477,0.0734,0.2115,2.8761,0.0249,0.1062,0.0,0.011715000000000014,0.0,0.02122600000000003,0.024841000000000005,0.3746390000000001,0.106335,0.0031649999999999977,2.8756680000000028,0.04786399999999993,0.07116800000000013,0.21563400000000002
7.4747,1.6734,1.8298,0.2466,0.0034,0.0215,0.3686,0.012,0.0479,0.0717,0.2114,2.857,0.025,0.1064,0.0,0.012151,0.11762699999999998,0.021426000000000014,0.02500599999999997,0.36621800000000043,0.10631500000000005,0.003480000000000001,2.7160130000000002,0.057865000000000014,0.06707599999999994,0.23348100000000013
